Layer,Name,GEOID,Longitude,Latitude,"Uninsured rate (% of residents), 2015-2019","Homicide (crimes), 2017-2021","Major crime (crimes), 2016-2020","Violent crime (crimes), 2016-2020","Eviction rate (% of renter-occupied households), 2018","Severely rent-burdened (% of renter-occupied housing units), 2015-2019","Traffic crashes (number of crashes), 2021","High school graduation rate (% of residents), 2015-2019","College graduation rate (% of residents), 2015-2019","Unemployment rate (%), 2015-2019","Median household income, 2015-2019","Per capita income, 2015-2019","Poverty rate (% of residents), 2015-2019","Demographics, Non-Hispanic White (% of residents), 2016-2020","Population (residents), 2015-2019"
Census tract,Tract 8307,17031830700,-87.6606982,41.9583016,10.48767698,1,288.6,65.2,0.68,20.37593985,145,88.17848818,45.35464535,4.321486268,58589.68868,37626.76563,21.61230443,38.98264224,3814
Census tract,Tract 8308,17031830800,-87.6765775,41.9651413,3.291038858,0,60.2,4.6,0.19,8.388312912,32,99.5754717,72.5,7.718780728,84226.1248,58948.21056,6.938937351,74.33661865,2522
Census tract,Tract 8309,17031830900,-87.6853728,41.9286297,5.412629469,0.5,312.6,19,0.15,15.49707602,364,90.41758242,61.53846154,0.913659205,108453.9306,62139.9039,2.906387293,67.82861293,2993
Census tract,Tract 8310,17031831000,-87.6769976,41.9147957,0.780891135,0,121.4,11.8,,0,56,98.85583524,87.98627002,1.651376147,158812.4659,110751.4406,0.780891135,85.86956522,2177
Census tract,Tract 8311,17031831100,-87.7174955,41.9428559,21.45952911,1,308,51,0.54,20.24291498,399,76.60152931,31.74171623,5.350953206,64215.72439,31764.19033,12.70102125,37.40359897,8537
Census tract,Tract 8312,17031831200,-87.73226,41.9153214,27.33843537,0.25,124.8,32.6,0.46,27.75229358,134,63.91202932,14.32855715,4.681027341,41558.83848,21033.99099,17.19812925,6.008316008,4704
Census tract,Tract 8313,17031831300,-87.7442596,41.9077662,12.46231156,0.8,262,34,2.13,0,162,80.59701493,20.89552239,10.50847458,49146.1374,31232.7718,10.75376884,1.982378855,995
Census tract,Tract 8314,17031831400,-87.7560884,41.8691188,17.90503806,3.4,270.4,112.4,1.37,43.29268293,610,79.37992126,17.51968504,6.320541761,35826.73121,18328.10541,21.89198985,14.75177305,3026
Census tract,Tract 8315,17031831500,-87.7880224,41.9276414,15.48140044,0.2,202.8,19,1.11,42.35033259,262,75.60600231,17.66063871,5.164781112,62367.95776,26312.11198,8.86214442,32.62115685,3656
Census tract,Tract 8316,17031831600,-87.7976148,41.9256105,9.584425309,0.75,145.8,29.2,1.61,39.0562249,291,72.3585279,14.3252869,7.758396251,49898.18479,26806.40547,8.346809305,23.68355688,8039
Census tract,Tract 8317,17031831700,-87.7452551,41.9526506,12.36274908,0.2,141.4,12,0.25,38.13131313,189,79.87878788,37.57575758,10.33755274,65902.26225,28631.89707,12.03438395,44.63806971,2459
Census tract,Tract 8318,17031831800,-87.7164527,41.9782333,7.392576621,0.796733582,146.4,22.8,0.65,14.38965238,185.2405579,88.93537889,45.07205951,5.813622115,58729.70314,30045.83101,12.45663307,47.0409469,6493
Census tract,Tract 8319,17031831900,-87.6687907,41.945169,1.672862454,0,83.6,5,0.13,9.511889862,85,99.17920657,86.04651163,1.448109413,139484.1057,87137.78921,4.677819083,78.78250591,3228
Census tract,Tract 8320,17031832000,-87.6542982,41.9462941,4.565083282,0,170.8,28.8,0,19.91051454,81,97.34133791,76.9296741,5.653450808,128876.9494,79889.9193,12.02961135,73.85159011,1621
Census tract,Tract 8321,17031832100,-87.6532413,41.9528214,9.133814547,0.25,118.6,24,0.15,13.40740741,59,97.6508708,74.9291211,3.852889667,80819.10619,58304.35617,13.57402743,51.25348189,3602
Census tract,Tract 8322,17031832200,-87.6799764,41.9204822,2.672955975,4.04E-05,87.2,9.8,0.1,11.53460381,93.98774436,95.92927632,80.83881579,0.935828877,116361.5656,84248.39983,7.075471698,77.46618278,3180
Census tract,Tract 8323,17031832300,-87.6714489,41.919207,1.863354037,0,159,10.8,0,6.746031746,238,98.86211513,74.49799197,1.886792453,127341.0331,77267.83025,5.933952528,61.38461538,1938
Census tract,Tract 8324,17031832400,-87.6922565,41.9157411,4.250559284,0.25,104.8,17.8,0.15,12.19512195,62,95.31442663,71.39334155,2.87970274,107102.5789,66502.6273,7.042253521,62.38303182,3129
Census tract,Tract 8325,17031832500,-87.6641183,41.9218777,1.085318058,0.25,238.6,15.2,0.64,22.86634461,148,92.72727273,75.6097561,3.510531595,157836.6076,100726.6172,8.981058132,80.5764411,3390
Census tract,Tract 8326,17031832600,-87.6540551,41.9147492,2.297090352,0,346.2,22.4,0.13,9.906291834,163,98.8340192,91.28943759,0.969479354,161576.6909,109930.4467,6.993363961,89.75634013,3918
Census tract,Tract 8329,17031832900,-87.6619014,41.8741811,1.825168108,0,50.6,12.6,0.38,31.14446529,94,99.13385827,89.21259843,9.945504087,67384.08199,47507.33175,29.17718324,67.34164071,2082
Census tract,Tract 8330,17031833000,-87.657249,41.8852863,0.915178571,0.4,796.6,54.6,0.31,22.51861042,401,98.9806867,84.12017167,4.834834835,160197.7606,104373.3575,11.5625,72.79129321,4480
Census tract,Tract 8331,17031833100,-87.657046,41.8790778,3.200667965,0,471,42.6,0.52,27.92501616,272,94.37288136,79.28813559,2.040023315,140429.2033,92556.98538,8.934038408,61.60042255,7436
Census tract,Tract 8333,17031833300,-87.6541237,41.8716945,4.194260486,0,70.2,19.4,0.15,34.11078717,103,96.01203913,75.16930023,4.8,59544.33275,41355.18108,40.24926686,39.8245614,2728
Census tract,Tract 8339,17031833900,-87.5474226,41.7310321,12.49056604,0.99839099,130.4,52.4,2.93,23.57473035,66.89219633,73.80627558,9.276944065,14.94565217,34194.28985,18400.23408,36.90566038,0.778931751,2650
Census tract,Tract 8340,17031834000,-87.6295042,41.7275601,5.412371134,1,153.8,59,2.84,39.81762918,146,82.96622614,11.649535,13.28273245,48604.11171,20560.91182,27.22293814,0.376529652,3104
Census tract,Tract 8342,17031834200,-87.5836069,41.7555676,6.145706146,2,387.8,111.2,2.58,24.06876791,385,96.42968995,31.8509239,10.43280182,69433.38459,34236.71847,15.75720417,0.042789902,4914
Census tract,Tract 8343,17031834300,-87.591788,41.7458348,3.963210702,3.167973482,297.4,86,1.87,48.94859813,453.4162046,91.14039073,32.0081781,15.43752388,45098.44655,27739.83522,26.48829431,0.651414045,5980
Census tract,Tract 8344,17031834400,-87.596303,41.7769504,3.606040117,1.4,191.8,49,1.36,35.9922179,91,87.82118972,33.61492432,12.93849658,58701.06382,29336.21225,17.80482308,1.115973742,4437
Census tract,Tract 8345,17031834500,-87.6253618,41.786032,11.67420814,1.2,115.2,42.4,2.53,39.63133641,128,86.99186992,9.756097561,18.54684512,34744.80126,18737.54165,24.74977252,0.278035218,1105
Census tract,Tract 8346,17031834600,-87.6343057,41.7872463,8.685306365,4.8,232.8,92.6,1.55,26.08695652,275,78.41409692,4.478707783,16.84210526,29308.63364,25644.92185,33.78941106,1.485442662,1681
Census tract,Tract 8347,17031834700,-87.6450334,41.7906903,11.44674086,2.4,152,56.6,1.12,36.91275168,122,67.73006135,6.380368098,24.67043315,24529.049,21131.57683,42.22401289,0.884955752,1258
Census tract,Tract 8348,17031834800,-87.6450883,41.7836337,16.17369415,2.2,137.8,57.6,1.4,19.89528796,114,82.91845494,14.59227468,29.60725076,19767.49653,17199.50398,44.31099874,0.11820331,1589
Census tract,Tract 8349,17031834900,-87.6567361,41.7722986,3.742203742,2.4,175.2,68,1.45,30.07246377,159,66.23115578,10.75376884,33.62068966,18585.85931,13301.37403,55.02425502,0.964391691,1443
Census tract,Tract 8350,17031835000,-87.6860492,41.7828495,11.65622202,4.4,310.4,112.2,1.68,27.68878719,334,78.46683893,5.569910996,25.31752752,29539.86965,18611.31649,32.96329454,1.837700146,5585
Census tract,Tract 8351,17031835100,-87.686248,41.7901576,14.42441054,1.2,140.2,47.8,2.16,24.11764706,242,58.84125921,7.367716008,9.098196393,44484.2922,17331.03272,16.92094313,0.795431369,5047
Census tract,Tract 8352,17031835200,-87.7452866,41.7966437,10.68740592,0.4,86.6,14.4,0.46,14.15525114,189,75.34246575,14.5890411,9.881061299,53990.4257,28649.92924,9.38283994,24.81789802,1993
Census tract,Tract 8355,17031835500,-87.6325415,41.8163534,9.972105997,1.4,149,52,0.59,29.84189723,174,76.71641791,11.14427861,23.06397306,25374.43936,17239.81118,40.09762901,4.94100295,1434
Census tract,Tract 8356,17031835600,-87.6322016,41.8018345,2.34375,1,153.2,45.6,0.55,20.21857923,285,80.54755043,6.340057637,27.51937984,25002.12817,16720.06052,19.19642857,0,896
Census tract,Tract 8357,17031835700,-87.6275978,41.8128443,0,0.151216741,20.2,6.4,0,11.62790698,17.20090427,100,32.63888889,45.91836735,52908.49575,17153.89321,0,,434
Census tract,Tract 8358,17031835800,-87.6187192,41.8130462,4.185779817,0.6,102.8,29.6,1.19,37.94749403,85,87.88187373,41.24236253,16.39522258,71008.54731,27724.9852,36.46788991,0,1744
Census tract,Tract 8359,17031835900,-87.6214989,41.8201664,3.084832905,2.44850933,196.4,64,0.97,23.30645161,177.5169265,81.86432856,22.47346562,13.1876413,21361.75212,27138.40946,39.66968912,,3112
Census tract,Tract 8360,17031836000,-87.6116844,41.8140036,6.90509915,0.5,126.8,36.8,1.51,27.5862069,49,95.43879908,38.45265589,14.45631678,69437.62745,31946.63342,29.48763884,2.406779661,2824
Census tract,Tract 8361,17031836100,-87.6186826,41.7998052,8.592514497,2.4,175.2,70,1.23,32.00612557,126,85.998343,22.61806131,17.30994152,26996.27356,18964.53479,42.01370585,3.925845147,1897
Census tract,Tract 8362,17031836200,-87.6012847,41.7904691,2.588066139,0,75.8,14.6,,37.20930233,99,100,94.81865285,14.52380952,,15974.37743,23.95833333,55.17468688,1492
Census tract,Tract 8363,17031836300,-87.6017585,41.8015324,7.27032386,0,28.8,6,1.7,21.86836518,31,97.97608096,64.3974241,11.43451143,55623.92777,35067.25881,22.4801061,44.04600812,1513
Census tract,Tract 8364,17031836400,-87.5951761,41.8190118,2.58780037,0.4,120,25.4,1.21,19.21331316,98,91.16772824,38.25902335,18.49173554,28862.07236,26706.6982,32.74359651,3.274288782,3787
Census tract,Tract 8365,17031836500,-87.599456,41.8259463,8.762098828,0.25,71.2,19.4,3.59,18.87675507,107,89.21124207,33.63553944,12.76803119,48718.669,24304.17729,16.17418351,9.938581798,1963
Census tract,Tract 8366,17031836600,-87.7088059,41.8986973,6.425183269,2.6,233.4,80,0.52,27.97202797,235,83.12901343,28.72154116,7.794232268,51246.35436,24430.40245,19.70677016,19.52054795,2337
Census tract,Tract 8367,17031836700,-87.7021747,41.8917041,5.415944541,3.6,180.6,64.8,1.32,13.92961877,170,82.20858896,11.38377641,9.882139619,32652.00932,22342.91408,36.56845754,4.792468977,2308
Census tract,Tract 8368,17031836800,-87.7149666,41.8850903,9.01126408,4,213,87.6,1.99,52.20483642,203,63.55212355,12.74131274,16.8128655,13688.53524,10427.89538,66.29119733,8.701721731,2397
Census tract,Tract 8369,17031836900,-87.7061362,41.8818831,17.02493551,0.8,69.4,25.2,0.98,44.74327628,78,83.43023256,21.65697674,12.5,29598.20901,17687.43317,36.80137575,10.44642857,1163
Census tract,Tract 8370,17031837000,-87.6986739,41.8783233,9.866962306,2.2,130.2,50.2,1.71,22.24334601,137,83.0171635,20.41553749,14.20289855,34030.93964,16856.89283,42.73648649,9.210526316,1804
Census tract,Tract 8371,17031837100,-87.6987204,41.8856736,3.487490523,2.4,176.6,56.6,0.19,42.4184261,165,77.16229349,23.22643343,15.05576208,22812.81111,24847.26369,28.73388931,14.45515196,1319
Census tract,Tract 8373,17031837300,-87.7055524,41.8716191,8.240626288,2.6,172.8,70.2,1.09,44.90909091,144,83.61075544,15.55697823,17.45711403,29335.15153,14769.40447,37.7420684,3.943452381,2762
Census tract,Tract 8374,17031837400,-87.6938013,41.8759745,10.27003099,2.4,172,63.2,0.5,26.8907563,104,78.05343511,15.5216285,23.72881356,41612.93498,18840.43107,38.65058088,5.502501137,2259
Census tract,Tract 8378,17031837800,-87.6841268,41.8847502,6.778276848,2,281.6,78.4,1.55,16.59634318,247,85.6119403,37.37313433,8.580343214,63552.77712,29543.0518,31.79571664,22.78953923,2627
Census tract,Tract 8380,17031838000,-87.6806525,41.8773662,1.738122827,0.8,174.2,58.4,0.81,16.04651163,154,87.78998779,36.87423687,5.542359462,28608.56133,31061.99658,29.81846273,15.62925943,2589
Census tract,Tract 8381,17031838100,-87.6716888,41.8786668,6.753407683,0.5,172,37.8,0.22,18.01510248,334,73.85952209,34.25054308,7.537012113,16711.57479,36401.63908,44.48574969,27.75330396,1614
Census tract,Tract 8382,17031838200,-87.6750794,41.8704157,2.509982886,0,192.6,34.6,1.02,16.32653061,313.2993427,93.16909295,67.18924972,5.257142857,65189.46135,24092.03416,15.10934394,31.5,2058
Census tract,Tract 8383,17031838300,-87.6384038,41.9015665,0.886637112,0,143,16.2,0.36,20.57245081,72,91.57392687,62.08267091,3.222918532,100915.4246,62021.10375,15.4626109,50.08025682,1710
Census tract,Tract 8386,17031838600,-87.7008236,41.8678233,6.844106464,1.25,136,74.2,1.42,36.94493783,77,65.94360087,1.084598698,17.16566866,17850.78338,9873.141108,52.5982256,2.247838617,1728
Census tract,Tract 8387,17031838700,-87.7201851,41.8625775,9.354346721,7.4,377,184,2.08,32.61231281,265,72.46998285,7.675814751,18.50931677,27261.45247,14253.89667,37.31457801,1.907426246,3934
Census tract,Tract 8388,17031838800,-87.5740611,41.6834042,8.393939394,1.4,264.4,56.6,1.28,17.30496454,328,74.31289641,11.78646934,13.88216303,28809.03658,18642.07724,41.95804196,2.637652489,3300
Census tract,Tract 8390,17031839000,-87.6314027,41.8710422,0.440334654,0.25,417.2,49.8,0.61,16.7690957,237,97.53639418,77.57558791,5.996582259,111474.8487,72855.25322,18.37831784,59.54518253,9209
Census tract,Tract 8391,17031839100,-87.6327465,41.8810263,5.401502022,0.8,2460.4,173.8,0.64,19.1904048,966,94.27962338,75.69728193,4.940822844,107132.2789,80408.60924,11.30562827,51.42748863,7545
Census tract,Tract 8392,17031839200,-87.6220362,41.8420108,2.120582121,0.5,189.8,44.4,2.89,19.56018519,93,86.66666667,48.22384428,7.803030303,37874.97309,37940.73746,24.34017595,13.06491372,2405
Census tract,Tract 8395,17031839500,-87.6192919,41.8340975,4.585900068,0.2,93.8,30.4,1.85,19.44444444,67,80.99742046,43.85210662,4.409448819,21161.27687,38029.83757,28.23259373,18.38790932,1461
Census tract,Tract 8396,17031839600,-87.6192486,41.8274428,5.202661827,0.4,165,28.6,1.31,48.80174292,105,86.29787234,35.82978723,9.949622166,34368.24721,29036.02973,24.25892317,4.739336493,1653
Census tract,Tract 8397,17031839700,-87.6519488,41.8336508,8.915123143,0.5,89.4,18.6,0.3,20.1,64,82.70440252,42.48141795,6.480446927,62554.64371,36448.31057,15.85589253,32.38636364,4913
Census tract,Tract 8398,17031839800,-87.6431623,41.8350674,12.52739226,0.2,53.2,12,0.14,16.73699015,68,84.19788665,41.1623439,3.024453024,64268.76018,33104.93489,14.67351431,51.48106487,2738
Census tract,Tract 8399,17031839900,-87.648454,41.8273459,5.25606469,0,73.2,8.2,0.5,15.67164179,124,87.06365503,43.53182752,6.671808716,68853.17314,38029.83757,10.96136568,50.57034221,4452
Census tract,Tract 8400,17031840000,-87.6382978,41.8311713,2.075876879,0.250015251,49.2,8.2,0,18.4,48.00390759,88.08743169,43.38797814,4.253968254,90312.5111,42979.13672,17.43889092,38.32933653,2794
Census tract,Tract 8401,17031840100,-87.639203,41.8418308,15.10832383,0.25,52.4,10.2,0.15,18.70397644,29,82.29683327,28.72949256,9.867374005,53533.25726,22617.63943,15.45039909,27.61126249,3508
Census tract,Tract 8402,17031840200,-87.6491918,41.8445745,10.37618851,0,87,18.2,0,27.90697674,122,70.33707865,27.19101124,5.111111111,65558.59039,29225.89782,14.51747088,19.9543379,2419
Census tract,Tract 8403,17031840300,-87.6818808,41.8320984,12.27570493,1.5,81,22,0.25,29.62962963,282,70.1336675,19.84126984,6.979405034,53679.63602,26645.17669,19.34002869,9.314538419,3511
Census tract,Tract 8404,17031840400,-87.6671616,41.8339264,12.91049581,0.8,118.2,14,1.08,29.83870968,274,72.94706128,26.84451855,6.45905421,47254.88143,25477.32878,17.41790084,15.41389153,3106
Census tract,Tract 8407,17031840700,-87.6942666,41.8529302,11.05233853,0.6,142,46.6,0.75,11.87969925,177,58.8372093,22.18604651,4.235145386,45830.34034,19884.17525,26.3363029,17.58836944,3592
Census tract,Tract 8408,17031840800,-87.707371,41.8408329,17.29609648,0.6,54.2,17.6,0.37,33.33333333,134,56.93301998,6.52173913,7.361516035,36884.26469,15878.91302,38.21009203,1.665124884,3151
Census tract,Tract 8410,17031841000,-87.6101983,41.8475444,1.821668265,0.8,178.4,32.4,0.74,13.60294118,219,96.92982456,62.5,1.164483261,104289.561,64922.16101,19.75071908,31.02439024,1043
Census tract,Tract 8411,17031841100,-87.6351083,41.8509934,7.728927471,1,268,68.2,0.31,9.8340504,380,58.63725316,26.45436755,6.237128567,37891.94454,23667.74791,30.10361243,11.08164689,7142
Census tract,Tract 8412,17031841200,-87.683342,41.8555618,12.21107719,1.4,98.6,35.6,0.08,13.69327074,178,72.96740995,36.15780446,6.165919283,48474.70441,23493.79055,17.52464403,14.26740709,4586
Census tract,Tract 8413,17031841300,-87.6842025,41.8439774,16.06016497,1.2,160.8,41.6,0.65,16.14301192,244,71.3281799,33.34504568,7.131214344,57570.34096,31470.3721,17.3944687,18.60897883,4122
Census tract,Tract 8414,17031841400,-87.7143926,41.853339,12.1516165,0.888238453,153.4,61.2,3.73,42.1641791,77.81284204,88.20678514,9.693053312,15.91320072,45764.57597,25967.3794,17.61426979,,897
Census tract,Tract 8415,17031841500,-87.7079132,41.8616224,5.801413165,3.4,192.6,91,1.12,39.80738363,134,86.24484182,17.81292985,13.70604148,33883.50017,15987.10601,31.94496095,1.266357113,2689
Census tract,Tract 8416,17031841600,-87.7076032,41.8553771,7.599309154,0.497210039,78,28.8,3.7,44.44444444,43.55736467,70.02398082,16.30695444,13.22033898,26356.66204,22645.21804,28.6701209,,579
Census tract,Tract 8417,17031841700,-87.7041819,41.8531302,17.08055724,0.25,115,39,0.75,12.42937853,86,50.27322404,10.6557377,15.13292434,19952.06105,15085.49773,47.18352514,6.994459834,1651
Census tract,Tract 8418,17031841800,-87.5994212,41.7663064,5.49132948,2.109487719,176.2,70,2.39,27.43538767,157.2527209,88.55345912,18.67924528,15.72265625,39433.16436,20808.05856,30.71841453,0.999200639,2428
Census tract,Tract 8419,17031841900,-87.642968,41.8678935,6.816789216,0.8,773.4,103.6,0.82,9.225700165,909,94.41770934,71.44690407,13.49509269,121292.8326,37789.05513,18.5376461,48.63088719,6539
Census tract,Tract 8420,17031842000,-87.6251702,41.83496,2.84,0.25,111.2,31.8,1.11,48.88888889,79,87.12070128,38.84018881,6.267806268,105629.2448,24202.34859,18.08634772,34.88076312,3164
Census tract,Tract 8421,17031842100,-87.7336103,41.8952785,20.7032743,3,255,87,0.85,30.12275732,299,75.27141134,13.02774427,9.569517161,40946.80556,13129.5381,25.28779739,2.497371188,7865
Census tract,Tract 8422,17031842200,-87.6501513,41.9051041,2.52825699,1.0000477,560,40.8,0.35,15.72720946,334,94.98577525,68.56330014,1.784973018,91486.72331,78251.11364,8.407871199,60.56921802,3362
Census tract,Tract 8423,17031842300,-87.6606908,41.9090015,3.688652704,0.831592418,475.8,40,0.61,13.49693252,425.9537445,98.31962817,74.07937075,6.674958541,151205.0134,82277.59019,7.658643326,68.23567083,3199
Census tract,Tract 8424,17031842400,-87.6300401,41.7424754,12.94613887,4,640.2,148.6,3.08,40.05602241,792,86.40186916,24.62616822,16.43330877,50563.25349,23695.32652,23.19922128,0.710135571,3082
Census tract,Tract 8425,17031842500,-87.6232157,41.7769506,6.773879142,2.8,269.6,120.4,2.14,23.80352645,256,78.38125666,8.945686901,34.21461897,11822.73644,9763.887398,55.19258898,0.093240093,2052
Census tract,Tract 8426,17031842600,-87.6516951,41.8162186,7.303501043,1.4,212.6,42,0.95,19.71608833,350,77.27734507,22.68879106,4.344048653,81267.7889,33393.44954,11.76881846,55.47533093,4313
Census tract,Tract 8428,17031842800,-87.6983044,41.8075339,20.01980758,2,196.6,57.4,0.5,33.83208645,367,65.57208825,9.055926116,4.081632653,38651.41693,12946.0343,36.37521222,5.089647195,7068
Census tract,Tract 8429,17031842900,-87.6729371,41.8631389,7.472613459,3.4,297.8,65.2,0.4,23.65269461,458,73.14250914,14.9817296,10.06825939,21286.44131,22835.08614,44.05320814,12.2832903,2556
Census tract,Tract 8430,17031843000,-87.7227489,41.8679365,7.488807489,4,341,134,3.65,33.59375,339,69.32422172,11.16173121,8.470290771,20993.6838,13043.62013,45.42857143,4.089815557,2457
Census tract,Tract 8431,17031843100,-87.6994529,41.8626017,7.003367003,1.4,112.6,49.4,0,48.55643045,186,89.49624866,15.00535906,6.666666667,23936.10896,16185.45984,46.93602694,18.2194617,1575
Census tract,Tract 8432,17031843200,-87.6642169,41.8487153,15.03157895,1.2,144.8,34,0.46,20.0913242,398,74.85970819,25.70145903,2.548625084,52453.44875,27274.18106,12.15986395,27.67658818,2375
Census tract,Tract 8433,17031843300,-87.6925503,41.8637638,11.41753999,1,130.4,38,1.95,24.42996743,98,74.14170928,15.55880205,15.4589372,53551.28943,19328.36026,38.8858246,8.639813193,1877
Census tract,Tract 8434,17031843400,-87.7320218,41.8493274,14.58015267,2.8,145.8,52.6,3.55,33.22580645,330,78.6429366,5.561735261,5.118829982,30790.45338,17380.88636,27.70992366,1.595358956,1310
Census tract,Tract 8435,17031843500,-87.6975661,41.8409834,20.09803922,0.631316103,117.2,18.8,0,13.44086022,172.9806122,55.7050907,3.657109421,5.106382979,31158.52171,1910.348854,37.64705882,10.60620257,10169
Census tract,Tract 8436,17031843600,-87.6089488,41.8067653,4.520358868,0.6,147,35.4,1.64,35.09571559,132,88.91202499,43.36283186,18.60776439,41545.04918,36649.84654,21.66089965,3.441363181,2898
Census tract,Tract 8437,17031843700,-87.6907876,41.9448261,5.065294816,0.25,103.6,15.6,0.55,7.945205479,212,83.84660081,59.03544451,2.751629254,121861.3762,80830.77406,6.371191136,64.81481481,2527
Census tract,Tract 8438,17031843800,-87.6404756,41.8016566,9.407894737,0.6,87.8,30.4,1.25,30.40752351,112,87.72401434,11.64874552,26.36612022,38230.31283,22399.13201,16.71052632,22.91525424,1520
Census tract,Tract 8439,17031843900,-87.5761303,41.7789932,10.84548105,1,214.8,68.6,2.52,38.41598816,378,86.09606356,35.17515349,6.63507109,35033.31591,30776.66408,30.67055394,5.388872706,3430
Census tract,Tract 9800,17031980000,-87.9024376,41.9794191,,0,420.8,10.6,,,0,,,,,,,,0
Census tract,Tract 9801,17031980100,-87.7509001,41.7859813,,0,115.8,5.4,,,213,,,,,,,,0
Census tract,Tract 8400,17043840000,-87.9395607,41.9784876,19.87908962,0,0,0,2.81,19.375,,70.80021198,17.80604134,5.58968059,67895.34692,25797.6649,16.74964438,35.07890961,2812
Census tract,Tract 8408.01,17043840801,-87.9316177,41.9517961,7.739665787,0,,,0.47,31.51658768,,77.28706625,21.24079916,10.86749285,38318.35223,20889.73367,14.5998241,55.0248376,2592
