Layer,Name,GEOID,Longitude,Latitude,"Uninsured rate (% of residents), 2015-2019","Homicide (crimes), 2017-2021","Major crime (crimes), 2016-2020","Violent crime (crimes), 2016-2020","Eviction rate (% of renter-occupied households), 2018","Severely rent-burdened (% of renter-occupied housing units), 2015-2019","Traffic crashes (number of crashes), 2021","High school graduation rate (% of residents), 2015-2019","College graduation rate (% of residents), 2015-2019","Unemployment rate (%), 2015-2019","Median household income, 2015-2019","Per capita income, 2015-2019","Poverty rate (% of residents), 2015-2019","Demographics, Non-Hispanic White (% of residents), 2016-2020","Population (residents), 2015-2019"
Census tract,Tract 6706,17031670600,-87.6715772,41.7830054,7.692307692,0.75,74.6,25.2,3.1,11.62790698,40,79.59731544,4.026845638,26.41509434,27843.78535,22792.65751,34.25641026,0.514403292,975
Census tract,Tract 6707,17031670700,-87.6667315,41.7830686,13.02785265,1.2,112,35.8,2.36,46.69811321,120,86.68639053,1.627218935,24.10501193,28933.14031,13346.9848,47.61904762,0.265486726,1113
Census tract,Tract 6708,17031670800,-87.661879,41.7831442,13.49753695,2.6,182.8,80,3.11,27.11864407,99,68.65853659,10.36585366,19.70074813,26090.42241,21188.85548,29.16256158,0,1015
Census tract,Tract 6709,17031670900,-87.657022,41.7832124,4.341085271,1.2,82.2,30,1.81,41.87725632,65,93.37837838,22.43243243,23.97260274,35468.20932,19284.87092,39.3625498,3.066566941,1290
Census tract,Tract 6711,17031671100,-87.6617159,41.7767771,3.183023873,1,120.6,55,1.81,33.13253012,71,82.09876543,8.847736626,14.40677966,35609.2845,13735.20673,43.37016575,0.662251656,754
Census tract,Tract 6712,17031671200,-87.6665823,41.7766993,11.6781158,0.75,82.2,36.8,1.72,32.32758621,86,74.82638889,6.597222222,44.06392694,26407.57639,14029.02496,30.81452404,2.424830262,1019
Census tract,Tract 6713,17031671300,-87.6713493,41.7739015,5.616302187,2,152.4,63.6,1.39,28.88888889,73,79.2903693,2.82404055,34.57446809,29574.87327,12883.45207,27.10843373,0,2012
Census tract,Tract 6714,17031671400,-87.6762289,41.7737921,6.451612903,0.6,90.4,37.6,3.14,54.08805031,98,76.17977528,3.820224719,21.12068966,24427.2203,25613.10038,30.07846556,0,1147
Census tract,Tract 6715,17031671500,-87.6696322,41.7681721,6.225339763,1.4,203.6,79,1.1,35.52631579,261,80.4389929,6.778566817,31.15693013,28771.91153,16045.44537,29.06619904,0.93220339,2281
Census tract,Tract 6716,17031671600,-87.6615118,41.7694998,12.05112599,1,222.6,83,2.13,46.22823985,185,75.44570502,2.26904376,34.11927878,20293.61148,16289.40997,34.44917833,5.079740106,1643
Census tract,Tract 6718,17031671800,-87.6564481,41.761401,3.21872714,0.6,79.4,31.4,0,17.07317073,87,85.48585486,7.134071341,31.06382979,29738.22347,17116.76816,40.23408925,0.4048583,1367
Census tract,Tract 6719,17031671900,-87.6612802,41.7613256,15.82222222,0.75,100.2,32.6,1.19,17.85714286,90,71.90412783,11.31824234,10.61571125,50277.92098,16322.29215,16.8,3.785211268,1125
Census tract,Tract 6720,17031672000,-87.6711281,41.7611983,3.927148549,2,207.6,68.4,0.72,66.58653846,206,85.28488111,17.76581427,29.40063091,38650.35622,18428.8734,25.44109277,0.753348214,3533
Census tract,Tract 6805,17031680500,-87.6523524,41.7905639,13.03643725,1,106.2,43.8,3.4,40.81632653,59,82.03125,9.244791667,35.6557377,25812.51492,15080.19415,37.1659919,3.238095238,1235
Census tract,Tract 6806,17031680600,-87.6521652,41.7832811,11.69940222,4.6,127.6,57.2,2.77,36.75889328,62,67.09770115,13.2183908,25.71428571,32080.28359,12707.37328,52.96229803,0.159489633,1171
Census tract,Tract 6809,17031680900,-87.6376305,41.7764307,13.62804878,3.4,379.2,135.6,1.33,28.71664549,292,73.93462971,8.191973521,23.51868733,17407.40425,13617.46729,45.09146341,2.019897498,3302
Census tract,Tract 6810,17031681000,-87.6495479,41.7760398,10.81274615,2.2,202.2,75.8,2.32,36.10354223,162,74.62941847,7.867730901,20.04555809,18157.3302,14631.51144,48.26351593,0.563502384,2793
Census tract,Tract 6811,17031681100,-87.6493595,41.7687665,9.01734104,2.4,237.6,92.6,3.6,46.32237872,215,73.13156269,12.6003706,27.36842105,23617.89427,13069.07731,37.99614644,0.25199496,2595
