,ADDRESS,CITY,STATE,ZIP,full_address,coords,type
61,310 W Division St,Chicago,IL,60610,"310 W Division St, Chicago, IL, 60610","(41.90383476841, -87.636911055642)",warming_centers
62,3048 E 130th St,Chicago,IL,60633,"3048 E 130th St, Chicago, IL, 60633","(41.659236250907, -87.549209892972)",warming_centers
63,3436 S King Drive,Chicago,IL,60616,"3436 S King Drive, Chicago, IL, 60616","(41.832255136353, -87.617399311871)",warming_centers
64,6464 N Clark St,Chicago,IL,60626,"6464 N Clark St, Chicago, IL, 60626","(41.999646075962, -87.671190518094)",warming_centers
65,78 E Washington St,Chicago,IL,60602,"78 E Washington St, Chicago, IL, 60602","(41.883274941225, -87.625222190475)",warming_centers
66,115 S Pulaski Rd,Chicago,IL,60624,"115 S Pulaski Rd, Chicago, IL, 60624","(41.879308259799, -87.725536764567)",warming_centers
67,5555 W Grand Ave,Chicago,IL,60639,"5555 W Grand Ave, Chicago, IL, 60639","(41.918443447301, -87.764380709661)",warming_centers
68,10 S Kedzie Ave,Chicago,IL,60612,"10 S Kedzie Ave, Chicago, IL, 60612","(41.880833513368, -87.706178301057)",warming_centers
69,3420 W 63rd St,Chicago,IL,60629,"3420 W 63rd St, Chicago, IL, 60629","(41.77891571742, -87.708869498464)",warming_centers
70,8650 S Commercial Ave,Chicago,IL,60617,"8650 S Commercial Ave, Chicago, IL, 60617","(41.737672809157, -87.551470156896)",warming_centers
71,1160 N Larrabee St,Chicago,IL,60610,"1160 N Larrabee St, Chicago, IL, 60610","(41.903246987971, -87.643218990325)",warming_centers
72,1659 W Melrose St,Chicago,IL,60657,"1659 W Melrose St, Chicago, IL, 60657","(41.94051995056, -87.670265910762)",warming_centers
73,4856 W Chicago Ave,Chicago,IL,60651,"4856 W Chicago Ave, Chicago, IL, 60651","(41.895009198183, -87.747891081316)",warming_centers
74,1701 N Milwaukee Ave,Chicago,IL,60647,"1701 N Milwaukee Ave, Chicago, IL, 60647","(41.912276181145, -87.680343003695)",warming_centers
75,5150 N Kimball Ave,Chicago,IL,60625,"5150 N Kimball Ave, Chicago, IL, 60625","(41.97484541005, -87.71358529181)",warming_centers
76,5055 S Archer Ave,Chicago,IL,60632,"5055 S Archer Ave, Chicago, IL, 60632","(41.801151640839, -87.726486375821)",warming_centers
77,5615 W. Race Ave,Chicago,IL,60644,"5615 W. Race Ave, Chicago, IL, 60644","(41.889239714781, -87.765721907108)",warming_centers
78,3710 E 106th St,Chicago,IL,60617,"3710 E 106th St, Chicago, IL, 60617","(41.7027701212, -87.533510695971)",warming_centers
79,9055 S Houston Ave,Chicago,IL,60617,"9055 S Houston Ave, Chicago, IL, 60617","(41.730911784724, -87.549776198134)",warming_centers
80,5108 W Belmont Ave,Chicago,IL,60641,"5108 W Belmont Ave, Chicago, IL, 60641","(41.938785132223, -87.754632219387)",warming_centers
81,1226 W Ainslie St,Chicago,IL,60640,"1226 W Ainslie St, Chicago, IL, 60640","(41.971507829063, -87.660109414973)",warming_centers
82,5331 W Devon Ave,Chicago,IL,60646,"5331 W Devon Ave, Chicago, IL, 60646","(41.997244126474, -87.762118355819)",warming_centers
83,1718 S State St,Chicago,IL,60616,"1718 S State St, Chicago, IL, 60616","(41.858753483297, -87.627369119791)",warming_centers
84,1438 W 63rd St,Chicago,IL,60636,"1438 W 63rd St, Chicago, IL, 60636","(41.779554236061, -87.66086368854)",warming_centers
85,3104 N Narragansett Ave,Chicago,IL,60634,"3104 N Narragansett Ave, Chicago, IL, 60634","(41.936611588053, -87.785949733447)",warming_centers
86,5151 N Milwaukee Ave,Chicago,IL,60630,"5151 N Milwaukee Ave, Chicago, IL, 60630","(41.974068750644, -87.766223255962)",warming_centers
87,7901 S King Drive,Chicago,IL,60619,"7901 S King Drive, Chicago, IL, 60619","(41.751087876725, -87.614879554056)",warming_centers
88,6083 N Northwest Highway,Chicago,IL,60631,"6083 N Northwest Highway, Chicago, IL, 60631","(41.991950843185, -87.798216749286)",warming_centers
89,4801 S Michigan Ave,Chicago,IL,60615,"4801 S Michigan Ave, Chicago, IL, 60615","(41.807406361742, -87.622729231002)",warming_centers
90,4455 N Lincoln Ave,Chicago,IL,60625,"4455 N Lincoln Ave, Chicago, IL, 60625","(41.962503821186, -87.684481337649)",warming_centers
91,11001 S Indiana Ave,Chicago,IL,60628,"11001 S Indiana Ave, Chicago, IL, 60628","(41.694399347866, -87.618214239545)",warming_centers
92,3120 S Halsted St,Chicago,IL,60608,"3120 S Halsted St, Chicago, IL, 60608","(41.837703129896, -87.64635129661)",warming_centers
93,1767 E 79th St,Chicago,IL,60649,"1767 E 79th St, Chicago, IL, 60649","(41.751485284224, -87.581279114899)",warming_centers
94,7455 W Cornelia Ave,Chicago,IL,60634,"7455 W Cornelia Ave, Chicago, IL, 60634","(41.943275230685, -87.813422762481)",warming_centers
95,642 W 43rd St,Chicago,IL,60609,"642 W 43rd St, Chicago, IL, 60609","(41.815338259607, -87.642562485244)",warming_centers
96,1140 W 79th St,Chicago,IL,60620,"1140 W 79th St, Chicago, IL, 60620","(41.750524120955, -87.652931668242)",warming_centers
97,2150 N California Ave,Chicago,IL,60647,"2150 N California Ave, Chicago, IL, 60647","(41.920943814403, -87.697369446149)",warming_centers
98,3160 N Milwaukee Ave,Chicago,IL,60618,"3160 N Milwaukee Ave, Chicago, IL, 60618","(41.938325732152, -87.722655957667)",warming_centers
99,937 N Wood St,Chicago,IL,60622,"937 N Wood St, Chicago, IL, 60622","(41.898688275176, -87.672171391149)",warming_centers
100,2019 W Lawrence Ave,Chicago,IL,60625,"2019 W Lawrence Ave, Chicago, IL, 60625","(41.968694977057, -87.679757685176)",warming_centers
101,5630 N Lincoln Ave,Chicago,IL,60659,"5630 N Lincoln Ave, Chicago, IL, 60659","(41.984663209242, -87.697839323351)",warming_centers
102,3315 W Ogden Ave,Chicago,IL,60623,"3315 W Ogden Ave, Chicago, IL, 60623","(41.856617140752, -87.708617688296)",warming_centers
103,3548 W Irving Park Rd,Chicago,IL,60618,"3548 W Irving Park Rd, Chicago, IL, 60618","(41.953843708798, -87.716917711174)",warming_centers
104,1625 W Chicago Ave,Chicago,IL,60622,"1625 W Chicago Ave, Chicago, IL, 60622","(41.896034425296, -87.668498932569)",warming_centers
105,4300 W North Ave,Chicago,IL,60639,"4300 W North Ave, Chicago, IL, 60639","(41.909821032005, -87.734320311893)",warming_centers
106,4650 N Pulaski Rd,Chicago,IL,60630,"4650 N Pulaski Rd, Chicago, IL, 60630","(41.966172550361, -87.728016064468)",warming_centers
107,3400 S Halsted St,Chicago,IL,60608,"3400 S Halsted St, Chicago, IL, 60608","(41.832544599344, -87.646223807591)",warming_centers
108,6 S Hoyne Ave,Chicago,IL,60612,"6 S Hoyne Ave, Chicago, IL, 60612","(41.881177180457, -87.679163444334)",warming_centers
109,1350 W 89th St,Chicago,IL,60620,"1350 W 89th St, Chicago, IL, 60620","(41.732388466473, -87.657295146602)",warming_centers
110,6100 W Irving Park Rd,Chicago,IL,60634,"6100 W Irving Park Rd, Chicago, IL, 60634","(41.953033455513, -87.779448291324)",warming_centers
111,4020 W 63rd St,Chicago,IL,60629,"4020 W 63rd St, Chicago, IL, 60629","(41.778718730033, -87.72357170492)",warming_centers
112,4312 W North Ave,Chicago,IL,60639,"4312 W North Ave, Chicago, IL, 60639","(41.9098432, -87.7364671)",warming_centers
