,ADDRESS,CITY,STATE,ZIP,full_address,coords,type
32,7340 N CLARK ST,CHICAGO,IL,60626,"7340 N CLARK ST, CHICAGO, IL, 60626","(42.014640160686284, -87.67502361090747)",fire_stations
33,2240 W 69TH ST,CHICAGO,IL,60636,"2240 W 69TH ST, CHICAGO, IL, 60636","(41.768394081407024, -87.67985164411793)",fire_stations
34,3002 W 42ND ST,CHICAGO,IL,60632,"3002 W 42ND ST, CHICAGO, IL, 60632","(41.8172974388628, -87.69950400664642)",fire_stations
35,4003 W WEST END AVE,CHICAGO,IL,60624,"4003 W WEST END AVE, CHICAGO, IL, 60624","(41.88334382548296, -87.72576410502936)",fire_stations
36,2215 W 51ST ST,CHICAGO,IL,60609,"2215 W 51ST ST, CHICAGO, IL, 60609","(41.801170483375124, -87.67986218548822)",fire_stations
37,2322 W FOSTER AVE,CHICAGO,IL,60625,"2322 W FOSTER AVE, CHICAGO, IL, 60625","(41.97593934922963, -87.6875836047776)",fire_stations
38,1150 E 55TH ST,CHICAGO,IL,60615,"1150 E 55TH ST, CHICAGO, IL, 60615","(41.79515197581412, -87.59751892663527)",fire_stations
39,548 W DIVISION ST,CHICAGO,IL,60610,"548 W DIVISION ST, CHICAGO, IL, 60610","(41.903989978859165, -87.64291470278913)",fire_stations
40,202 E CHICAGO AVE,CHICAGO,IL,60611,"202 E CHICAGO AVE, CHICAGO, IL, 60611","(41.89706519923356, -87.62259901814724)",fire_stations
41,4426 N KEDZIE AVE,CHICAGO,IL,60625,"4426 N KEDZIE AVE, CHICAGO, IL, 60625","(41.961690670919346, -87.7082930624585)",fire_stations
42,11641 S AVENUE O,CHICAGO,IL,60617,"11641 S AVENUE O, CHICAGO, IL, 60617","(41.68384838570316, -87.5400210564776)",fire_stations
43,101 E 79TH ST,CHICAGO,IL,60619,"101 E 79TH ST, CHICAGO, IL, 60619","(41.75098315968846, -87.62135205388734)",fire_stations
44,3918 N HARLEM AVE,CHICAGO,IL,60634,"3918 N HARLEM AVE, CHICAGO, IL, 60634","(41.95114251165066, -87.80721934061404)",fire_stations
45,13359 S BURLEY AVE,CHICAGO,IL,60633,"13359 S BURLEY AVE, CHICAGO, IL, 60633","(41.652591152628624, -87.54470437664087)",fire_stations
46,10615 S EWING AVE,CHICAGO,IL,60617,"10615 S EWING AVE, CHICAGO, IL, 60617","(41.702187603130206, -87.53522906326324)",fire_stations
47,3949 W 16TH ST,CHICAGO,IL,60623,"3949 W 16TH ST, CHICAGO, IL, 60623","(41.85850227061717, -87.7242763667799)",fire_stations
48,8026 S KEDZIE AVE,CHICAGO,IL,60652,"8026 S KEDZIE AVE, CHICAGO, IL, 60652","(41.74747486194539, -87.70238006254415)",fire_stations
49,7313 S KINGSTON AVE,CHICAGO,IL,60649,"7313 S KINGSTON AVE, CHICAGO, IL, 60649","(41.76239663139161, -87.56393561616461)",fire_stations
50,25 S LAFLIN ST,CHICAGO,IL,60607,"25 S LAFLIN ST, CHICAGO, IL, 60607","(41.880715524740886, -87.66412071624002)",fire_stations
51,5559 S NARRAGANSETT AVE,CHICAGO,IL,60638,"5559 S NARRAGANSETT AVE, CHICAGO, IL, 60638","(41.79123564423197, -87.78169288573983)",fire_stations
52,1244 N WESTERN AVE,CHICAGO,IL,60622,"1244 N WESTERN AVE, CHICAGO, IL, 60622","(41.9038275429672, -87.68713245676875)",fire_stations
53,1052 W WAVELAND AVE,CHICAGO,IL,60613,"1052 W WAVELAND AVE, CHICAGO, IL, 60613","(41.94920789049237, -87.65640453322862)",fire_stations
54,3637 W 59TH ST,CHICAGO,IL,60629,"3637 W 59TH ST, CHICAGO, IL, 60629","(41.785702152345344, -87.71468959394757)",fire_stations
55,1101 S CALIFORNIA AVE,CHICAGO,IL,60612,"1101 S CALIFORNIA AVE, CHICAGO, IL, 60612","(41.86810702989009, -87.6956239669264)",fire_stations
56,7659 S PULASKI RD,CHICAGO,IL,60652,"7659 S PULASKI RD, CHICAGO, IL, 60652","(41.75300608968367, -87.72192154895255)",fire_stations
57,21 W 59TH ST,CHICAGO,IL,60621,"21 W 59TH ST, CHICAGO, IL, 60621","(41.786898250644306, -87.62642113677177)",fire_stations
58,11035 S HOMEWOOD AVE,CHICAGO,IL,60643,"11035 S HOMEWOOD AVE, CHICAGO, IL, 60643","(41.693205775399605, -87.66882538049862)",fire_stations
59,4401 S ASHLAND AVE,CHICAGO,IL,60609,"4401 S ASHLAND AVE, CHICAGO, IL, 60609","(41.81404218586455, -87.66497197801137)",fire_stations
60,5758 W GRACE ST,CHICAGO,IL,60634,"5758 W GRACE ST, CHICAGO, IL, 60634","(41.949448311266025, -87.77069385620601)",fire_stations
61,1901 N DAMEN AVE,CHICAGO,IL,60647,"1901 N DAMEN AVE, CHICAGO, IL, 60647","(41.91622975167794, -87.67720585176635)",fire_stations
62,11958 S STATE ST,CHICAGO,IL,60628,"11958 S STATE ST, CHICAGO, IL, 60628","(41.67673026792751, -87.62265939976201)",fire_stations
63,11940 S PEORIA ST,CHICAGO,IL,60643,"11940 S PEORIA ST, CHICAGO, IL, 60643","(41.676767520058746, -87.64436386377967)",fire_stations
64,55 W ILLINOIS ST,CHICAGO,IL,60654,"55 W ILLINOIS ST, CHICAGO, IL, 60654","(41.89080151108816, -87.63009284126726)",fire_stations
65,2718 N HALSTED ST,CHICAGO,IL,60614,"2718 N HALSTED ST, CHICAGO, IL, 60614","(41.93179744380986, -87.64899361595215)",fire_stations
66,1440 E 67TH ST,CHICAGO,IL,60637,"1440 E 67TH ST, CHICAGO, IL, 60637","(41.77330654417221, -87.59020200469239)",fire_stations
67,5212 W HARRISON ST,CHICAGO,IL,60644,"5212 W HARRISON ST, CHICAGO, IL, 60644","(41.872982656337946, -87.75506878145924)",fire_stations
68,1125 N ASHLAND AVE,CHICAGO,IL,60622,"1125 N ASHLAND AVE, CHICAGO, IL, 60622","(41.90220932124115, -87.66707948571641)",fire_stations
69,1724 W 95TH ST,CHICAGO,IL,60643,"1724 W 95TH ST, CHICAGO, IL, 60643","(41.72124683806391, -87.66576328672551)",fire_stations
70,330 W 104TH ST,CHICAGO,IL,60628,"330 W 104TH ST, CHICAGO, IL, 60628","(41.7052439476399, -87.6324331863445)",fire_stations
71,12701 S DOTY AVE,CHICAGO,IL,60633,"12701 S DOTY AVE, CHICAGO, IL, 60633","(41.66260010624714, -87.59059746685327)",fire_stations
72,1747 N PULASKI RD,CHICAGO,IL,60639,"1747 N PULASKI RD, CHICAGO, IL, 60639","(41.912618217810966, -87.72638113254548)",fire_stations
73,4017 N TRIPP AVE,CHICAGO,IL,60641,"4017 N TRIPP AVE, CHICAGO, IL, 60641","(41.953786251061175, -87.7339286805089)",fire_stations
74,259 N COLUMBUS DR,CHICAGO,IL,60601,"259 N COLUMBUS DR, CHICAGO, IL, 60601","(41.88646360558985, -87.62061359066273)",fire_stations
75,1618 W 33RD PL,CHICAGO,IL,60608,"1618 W 33RD PL, CHICAGO, IL, 60608","(41.83346514532146, -87.66635103487269)",fire_stations
76,3509 S LOWE AVE,CHICAGO,IL,60609,"3509 S LOWE AVE, CHICAGO, IL, 60609","(41.83078516567415, -87.64213229262364)",fire_stations
77,2179 N STAVE ST,CHICAGO,IL,60647,"2179 N STAVE ST, CHICAGO, IL, 60647","(41.92093320589118, -87.69644234997307)",fire_stations
78,439 N WALLER AVE,CHICAGO,IL,60644,"439 N WALLER AVE, CHICAGO, IL, 60644","(41.88832430415244, -87.76761633819585)",fire_stations
79,34 E 114TH ST,CHICAGO,IL,60628,"34 E 114TH ST, CHICAGO, IL, 60628","(41.68740625454284, -87.62413685881735)",fire_stations
80,7974 S SOUTH CHICAGO AVE,CHICAGO,IL,60617,"7974 S SOUTH CHICAGO AVE, CHICAGO, IL, 60617","(41.749827955664045, -87.58341162594515)",fire_stations
81,7101 S PARNELL AVE,CHICAGO,IL,60621,"7101 S PARNELL AVE, CHICAGO, IL, 60621","(41.76525963399459, -87.63830544212665)",fire_stations
82,3027 E 93RD ST,CHICAGO,IL,60617,"3027 E 93RD ST, CHICAGO, IL, 60617","(41.72641224082973, -87.55007769314022)",fire_stations
83,5200 W 63RD ST,CHICAGO,IL,60638,"5200 W 63RD ST, CHICAGO, IL, 60638","(41.77750932865842, -87.75197548528234)",fire_stations
84,4600 S COTTAGE GROVE AVE,CHICAGO,IL,60653,"4600 S COTTAGE GROVE AVE, CHICAGO, IL, 60653","(41.81134320681739, -87.60662556802056)",fire_stations
85,2323 N NATCHEZ AVE,CHICAGO,IL,60707,"2323 N NATCHEZ AVE, CHICAGO, IL, 60707","(41.92208525379962, -87.78775414416)",fire_stations
86,3042 S KEDVALE AVE,CHICAGO,IL,60623,"3042 S KEDVALE AVE, CHICAGO, IL, 60623","(41.837386198391975, -87.72806083645415)",fire_stations
87,3421 S CALUMET AVE,CHICAGO,IL,60616,"3421 S CALUMET AVE, CHICAGO, IL, 60616","(41.83227804024279, -87.61779663851078)",fire_stations
88,10 N LEAVITT ST,CHICAGO,IL,60612,"10 N LEAVITT ST, CHICAGO, IL, 60612","(41.88151592134697, -87.68185534665783)",fire_stations
89,817 E 91ST ST,CHICAGO,IL,60619,"817 E 91ST ST, CHICAGO, IL, 60619","(41.72933327959225, -87.60425730151255)",fire_stations
90,4034 W 47TH ST,CHICAGO,IL,60632,"4034 W 47TH ST, CHICAGO, IL, 60632","(41.80790024096418, -87.72485128276466)",fire_stations
91,6424 N LEHIGH AVE,CHICAGO,IL,60646,"6424 N LEHIGH AVE, CHICAGO, IL, 60646","(41.997974799017584, -87.76616159362811)",fire_stations
0,3510 S Michigan Ave,Chicago,IL,60653,"3510 S Michigan Ave, Chicago, IL, 60653","(41.8307016873, -87.6233953459)",police_stations
1,1160 N Larrabee St,Chicago,IL,60610,"1160 N Larrabee St, Chicago, IL, 60610","(41.9032416531, -87.6433521393)",police_stations
2,850 W Addison St,Chicago,IL,60613,"850 W Addison St, Chicago, IL, 60613","(41.9474004564, -87.651512018)",police_stations
3,5400 N Lincoln Ave,Chicago,IL,60625,"5400 N Lincoln Ave, Chicago, IL, 60625","(41.9795495131, -87.6928445094)",police_stations
4,1900 W Monterey Ave,Chicago,IL,60643,"1900 W Monterey Ave, Chicago, IL, 60643","(41.6914347795, -87.6685203937)",police_stations
5,6464 N Clark St,Chicago,IL,60626,"6464 N Clark St, Chicago, IL, 60626","(41.9997634842, -87.6713242922)",police_stations
6,5555 W Grand Ave,Chicago,IL,60639,"5555 W Grand Ave, Chicago, IL, 60639","(41.9186088912, -87.765574479)",police_stations
7,1718 S State St,Chicago,IL,60616,"1718 S State St, Chicago, IL, 60616","(41.8583725929, -87.627356171)",police_stations
8,5101 S Wentworth Ave,Chicago,IL,60609,"5101 S Wentworth Ave, Chicago, IL, 60609","(41.8018110912, -87.6305601801)",police_stations
9,7040 S Cottage Grove Ave,Chicago,IL,60637,"7040 S Cottage Grove Ave, Chicago, IL, 60637","(41.7664308925, -87.6057478606)",police_stations
10,2255 E 103rd St,Chicago,IL,60617,"2255 E 103rd St, Chicago, IL, 60617","(41.7079332906, -87.5683491228)",police_stations
11,727 E 111th St,Chicago,IL,60628,"727 E 111th St, Chicago, IL, 60628","(41.6927233639, -87.6045058667)",police_stations
12,7808 S Halsted St,Chicago,IL,60620,"7808 S Halsted St, Chicago, IL, 60620","(41.7521368378, -87.6442289066)",police_stations
13,1438 W 63rd St,Chicago,IL,60636,"1438 W 63rd St, Chicago, IL, 60636","(41.7796315359, -87.6608870173)",police_stations
14,3420 W 63rd St,Chicago,IL,60629,"3420 W 63rd St, Chicago, IL, 60629","(41.778987189, -87.7088638153)",police_stations
15,3120 S Halsted St,Chicago,IL,60608,"3120 S Halsted St, Chicago, IL, 60608","(41.8373944311, -87.6464077068)",police_stations
16,3315 W Ogden Ave,Chicago,IL,60623,"3315 W Ogden Ave, Chicago, IL, 60623","(41.8566845327, -87.708381958)",police_stations
17,3151 W Harrison St,Chicago,IL,60612,"3151 W Harrison St, Chicago, IL, 60612","(41.8735822883, -87.705488126)",police_stations
18,"1412 S Blue Island Ave
",Chicago,IL,60608,"1412 S Blue Island Ave
, Chicago, IL, 60608","(41.8629766244, -87.6569725149)",police_stations
19,2150 N California Ave,Chicago,IL,60647,"2150 N California Ave, Chicago, IL, 60647","(41.9211033246, -87.6974518223)",police_stations
20,5701 W Madison St,Chicago,IL,60644,"5701 W Madison St, Chicago, IL, 60644","(41.8800834614, -87.768199889)",police_stations
21,5151 N Milwaukee Ave,Chicago,IL,60630,"5151 N Milwaukee Ave, Chicago, IL, 60630","(41.9740944511, -87.7661488432)",police_stations
22,4650 N Pulaski Rd,Chicago,IL,60630,"4650 N Pulaski Rd, Chicago, IL, 60630","(41.9660534171, -87.728114561)",police_stations
0,6120 S Kedzie Ave ,Chicago,IL,60629,"6120 S Kedzie Ave , Chicago, IL, 60629","(41.781976295716, -87.703294320756)",warming_centers
1,1101 W Taylor St,Chicago,IL,60607,"1101 W Taylor St, Chicago, IL, 60607","(41.86943247967, -87.654442529251)",warming_centers
2,8148 S Stony Island Ave ,Chicago,IL,60617,"8148 S Stony Island Ave , Chicago, IL, 60617","(41.746342273519, -87.585878217737)",warming_centers
3,2255 E 103rd St,Chicago,IL,60617,"2255 E 103rd St, Chicago, IL, 60617","(41.708010995084, -87.567606260854)",warming_centers
4,4314 S Cottage Grove Ave,Chicago,IL,60653,"4314 S Cottage Grove Ave, Chicago, IL, 60653","(41.816273554518, -87.606697522715)",warming_centers
5,2311 S Kedzie Ave,Chicago,IL,60623,"2311 S Kedzie Ave, Chicago, IL, 60623","(41.849672638623, -87.705112913396)",warming_centers
6,6423 W 63rd Place,Chicago,IL,60638,"6423 W 63rd Place, Chicago, IL, 60638","(41.776696025249, -87.781792934154)",warming_centers
7,100 S Racine Ave,Chicago,IL,60607,"100 S Racine Ave, Chicago, IL, 60607","(41.880292540229, -87.657186052803)",warming_centers
8,3647 S State St,Chicago,IL,60609,"3647 S State St, Chicago, IL, 60609","(41.828144605304, -87.626455627699)",warming_centers
9,400 S State St,Chicago,IL,60605,"400 S State St, Chicago, IL, 60605","(41.876895532792, -87.627724810386)",warming_centers
10,8530 S Kedzie Ave,Chicago,IL,60652,"8530 S Kedzie Ave, Chicago, IL, 60652","(41.738365456793, -87.702155026949)",warming_centers
11,1210 W Elmdale Ave,Chicago,IL,60660,"1210 W Elmdale Ave, Chicago, IL, 60660","(41.990942289427, -87.660789876864)",warming_centers
12,1745 W 63rd St,Chicago,IL,60636,"1745 W 63rd St, Chicago, IL, 60636","(41.779344520875, -87.668146107172)",warming_centers
13,1805 S Loomis St,Chicago,IL,60608,"1805 S Loomis St, Chicago, IL, 60608","(41.857820778175, -87.66122498708)",warming_centers
14,7506 S Racine Ave,Chicago,IL,60620,"7506 S Racine Ave, Chicago, IL, 60620","(41.757451722089, -87.653982260573)",warming_centers
15,1900 W Monterey Ave,Chicago,IL,60643,"1900 W Monterey Ave, Chicago, IL, 60643","(41.691375104539, -87.668498787512)",warming_centers
16,727 E 111th St,Chicago,IL,60628,"727 E 111th St, Chicago, IL, 60628","(41.692768796775, -87.605464619662)",warming_centers
17,3030 W Fullerton Ave,Chicago,IL,60647,"3030 W Fullerton Ave, Chicago, IL, 60647","(41.924785750573, -87.703419606967)",warming_centers
18,4904 S Lake Park Ave,Chicago,IL,60615,"4904 S Lake Park Ave, Chicago, IL, 60615","(41.805498563171, -87.589114605823)",warming_centers
19,4314 S Archer Ave,Chicago,IL,60632,"4314 S Archer Ave, Chicago, IL, 60632","(41.815124935655, -87.702669516901)",warming_centers
20,2708 S Pulaski Rd,Chicago,IL,60623,"2708 S Pulaski Rd, Chicago, IL, 60623","(41.842057117098, -87.724526694994)",warming_centers
21,6151 S Normal Blvd,Chicago,IL,60621,"6151 S Normal Blvd, Chicago, IL, 60621","(41.78234349533, -87.637468750753)",warming_centers
