,full_address,coords,type,row_number,isoID
22,"6239 N CALIFORNIA AVE, CHICAGO, IL, 60659","(41.99514651466264, -87.69953001132356)",fire_stations,29,fire_stations29
23,"4625 N MILWAUKEE AVE, CHICAGO, IL, 60630","(41.964650420624565, -87.75785762001762)",fire_stations,30,fire_stations30
24,"1915 S DAMEN AVE, CHICAGO, IL, 60608","(41.85561895838222, -87.67592085764691)",fire_stations,31,fire_stations31
25,"1360 N BLUE ISLAND AVE, CHICAGO, IL, 60608","(41.864503979120165, -87.65556796459875)",fire_stations,32,fire_stations32
26,"3401 N ELSTON AVE, CHICAGO, IL, 60618","(41.943065521032246, -87.7032142448537)",fire_stations,33,fire_stations33
27,"4005 S DEARBORN ST, CHICAGO, IL, 60609","(41.821900941759, -87.62749769240351)",fire_stations,34,fire_stations34
28,"419 S WELLS ST, CHICAGO, IL, 60607","(41.87604804340882, -87.63333692317708)",fire_stations,35,fire_stations35
29,"5955 S ASHLAND AVE, CHICAGO, IL, 60636","(41.78569136830025, -87.66426233667036)",fire_stations,36,fire_stations36
30,"4900 W CHICAGO AVE, CHICAGO, IL, 60651","(41.895036609573054, -87.74827707033056)",fire_stations,37,fire_stations37
31,"3801 N DAMEN AVE, CHICAGO, IL, 60618","(41.95075472438277, -87.67830302464209)",fire_stations,38,fire_stations38
32,"7340 N CLARK ST, CHICAGO, IL, 60626","(42.014640160686284, -87.67502361090747)",fire_stations,39,fire_stations39
33,"2240 W 69TH ST, CHICAGO, IL, 60636","(41.768394081407024, -87.67985164411793)",fire_stations,40,fire_stations40
34,"3002 W 42ND ST, CHICAGO, IL, 60632","(41.8172974388628, -87.69950400664642)",fire_stations,41,fire_stations41
35,"4003 W WEST END AVE, CHICAGO, IL, 60624","(41.88334382548296, -87.72576410502936)",fire_stations,42,fire_stations42
36,"2215 W 51ST ST, CHICAGO, IL, 60609","(41.801170483375124, -87.67986218548822)",fire_stations,43,fire_stations43
37,"2322 W FOSTER AVE, CHICAGO, IL, 60625","(41.97593934922963, -87.6875836047776)",fire_stations,44,fire_stations44
38,"1150 E 55TH ST, CHICAGO, IL, 60615","(41.79515197581412, -87.59751892663527)",fire_stations,45,fire_stations45
39,"548 W DIVISION ST, CHICAGO, IL, 60610","(41.903989978859165, -87.64291470278913)",fire_stations,46,fire_stations46
40,"202 E CHICAGO AVE, CHICAGO, IL, 60611","(41.89706519923356, -87.62259901814724)",fire_stations,47,fire_stations47
41,"4426 N KEDZIE AVE, CHICAGO, IL, 60625","(41.961690670919346, -87.7082930624585)",fire_stations,48,fire_stations48
42,"11641 S AVENUE O, CHICAGO, IL, 60617","(41.68384838570316, -87.5400210564776)",fire_stations,49,fire_stations49
43,"101 E 79TH ST, CHICAGO, IL, 60619","(41.75098315968846, -87.62135205388734)",fire_stations,50,fire_stations50
44,"3918 N HARLEM AVE, CHICAGO, IL, 60634","(41.95114251165066, -87.80721934061404)",fire_stations,51,fire_stations51
45,"13359 S BURLEY AVE, CHICAGO, IL, 60633","(41.652591152628624, -87.54470437664087)",fire_stations,52,fire_stations52
46,"10615 S EWING AVE, CHICAGO, IL, 60617","(41.702187603130206, -87.53522906326324)",fire_stations,53,fire_stations53
47,"3949 W 16TH ST, CHICAGO, IL, 60623","(41.85850227061717, -87.7242763667799)",fire_stations,54,fire_stations54
48,"8026 S KEDZIE AVE, CHICAGO, IL, 60652","(41.74747486194539, -87.70238006254415)",fire_stations,55,fire_stations55
49,"7313 S KINGSTON AVE, CHICAGO, IL, 60649","(41.76239663139161, -87.56393561616461)",fire_stations,56,fire_stations56
50,"25 S LAFLIN ST, CHICAGO, IL, 60607","(41.880715524740886, -87.66412071624002)",fire_stations,57,fire_stations57
51,"5559 S NARRAGANSETT AVE, CHICAGO, IL, 60638","(41.79123564423197, -87.78169288573983)",fire_stations,58,fire_stations58
52,"1244 N WESTERN AVE, CHICAGO, IL, 60622","(41.9038275429672, -87.68713245676875)",fire_stations,59,fire_stations59
53,"1052 W WAVELAND AVE, CHICAGO, IL, 60613","(41.94920789049237, -87.65640453322862)",fire_stations,60,fire_stations60
54,"3637 W 59TH ST, CHICAGO, IL, 60629","(41.785702152345344, -87.71468959394757)",fire_stations,61,fire_stations61
55,"1101 S CALIFORNIA AVE, CHICAGO, IL, 60612","(41.86810702989009, -87.6956239669264)",fire_stations,62,fire_stations62
56,"7659 S PULASKI RD, CHICAGO, IL, 60652","(41.75300608968367, -87.72192154895255)",fire_stations,63,fire_stations63
57,"21 W 59TH ST, CHICAGO, IL, 60621","(41.786898250644306, -87.62642113677177)",fire_stations,64,fire_stations64
58,"11035 S HOMEWOOD AVE, CHICAGO, IL, 60643","(41.693205775399605, -87.66882538049862)",fire_stations,65,fire_stations65
59,"4401 S ASHLAND AVE, CHICAGO, IL, 60609","(41.81404218586455, -87.66497197801137)",fire_stations,66,fire_stations66
60,"5758 W GRACE ST, CHICAGO, IL, 60634","(41.949448311266025, -87.77069385620601)",fire_stations,67,fire_stations67
61,"1901 N DAMEN AVE, CHICAGO, IL, 60647","(41.91622975167794, -87.67720585176635)",fire_stations,68,fire_stations68
62,"11958 S STATE ST, CHICAGO, IL, 60628","(41.67673026792751, -87.62265939976201)",fire_stations,69,fire_stations69
63,"11940 S PEORIA ST, CHICAGO, IL, 60643","(41.676767520058746, -87.64436386377967)",fire_stations,70,fire_stations70
64,"55 W ILLINOIS ST, CHICAGO, IL, 60654","(41.89080151108816, -87.63009284126726)",fire_stations,71,fire_stations71
65,"2718 N HALSTED ST, CHICAGO, IL, 60614","(41.93179744380986, -87.64899361595215)",fire_stations,72,fire_stations72
66,"1440 E 67TH ST, CHICAGO, IL, 60637","(41.77330654417221, -87.59020200469239)",fire_stations,73,fire_stations73
67,"5212 W HARRISON ST, CHICAGO, IL, 60644","(41.872982656337946, -87.75506878145924)",fire_stations,74,fire_stations74
68,"1125 N ASHLAND AVE, CHICAGO, IL, 60622","(41.90220932124115, -87.66707948571641)",fire_stations,75,fire_stations75
69,"1724 W 95TH ST, CHICAGO, IL, 60643","(41.72124683806391, -87.66576328672551)",fire_stations,76,fire_stations76
70,"330 W 104TH ST, CHICAGO, IL, 60628","(41.7052439476399, -87.6324331863445)",fire_stations,77,fire_stations77
71,"12701 S DOTY AVE, CHICAGO, IL, 60633","(41.66260010624714, -87.59059746685327)",fire_stations,78,fire_stations78
72,"1747 N PULASKI RD, CHICAGO, IL, 60639","(41.912618217810966, -87.72638113254548)",fire_stations,79,fire_stations79
73,"4017 N TRIPP AVE, CHICAGO, IL, 60641","(41.953786251061175, -87.7339286805089)",fire_stations,80,fire_stations80
74,"259 N COLUMBUS DR, CHICAGO, IL, 60601","(41.88646360558985, -87.62061359066273)",fire_stations,81,fire_stations81
75,"1618 W 33RD PL, CHICAGO, IL, 60608","(41.83346514532146, -87.66635103487269)",fire_stations,82,fire_stations82
76,"3509 S LOWE AVE, CHICAGO, IL, 60609","(41.83078516567415, -87.64213229262364)",fire_stations,83,fire_stations83
77,"2179 N STAVE ST, CHICAGO, IL, 60647","(41.92093320589118, -87.69644234997307)",fire_stations,84,fire_stations84
78,"439 N WALLER AVE, CHICAGO, IL, 60644","(41.88832430415244, -87.76761633819585)",fire_stations,85,fire_stations85
79,"34 E 114TH ST, CHICAGO, IL, 60628","(41.68740625454284, -87.62413685881735)",fire_stations,86,fire_stations86
80,"7974 S SOUTH CHICAGO AVE, CHICAGO, IL, 60617","(41.749827955664045, -87.58341162594515)",fire_stations,87,fire_stations87
81,"7101 S PARNELL AVE, CHICAGO, IL, 60621","(41.76525963399459, -87.63830544212665)",fire_stations,88,fire_stations88
82,"3027 E 93RD ST, CHICAGO, IL, 60617","(41.72641224082973, -87.55007769314022)",fire_stations,89,fire_stations89
83,"5200 W 63RD ST, CHICAGO, IL, 60638","(41.77750932865842, -87.75197548528234)",fire_stations,90,fire_stations90
84,"4600 S COTTAGE GROVE AVE, CHICAGO, IL, 60653","(41.81134320681739, -87.60662556802056)",fire_stations,91,fire_stations91
85,"2323 N NATCHEZ AVE, CHICAGO, IL, 60707","(41.92208525379962, -87.78775414416)",fire_stations,92,fire_stations92
86,"3042 S KEDVALE AVE, CHICAGO, IL, 60623","(41.837386198391975, -87.72806083645415)",fire_stations,93,fire_stations93
87,"3421 S CALUMET AVE, CHICAGO, IL, 60616","(41.83227804024279, -87.61779663851078)",fire_stations,94,fire_stations94
88,"10 N LEAVITT ST, CHICAGO, IL, 60612","(41.88151592134697, -87.68185534665783)",fire_stations,95,fire_stations95
89,"817 E 91ST ST, CHICAGO, IL, 60619","(41.72933327959225, -87.60425730151255)",fire_stations,96,fire_stations96
90,"4034 W 47TH ST, CHICAGO, IL, 60632","(41.80790024096418, -87.72485128276466)",fire_stations,97,fire_stations97
91,"6424 N LEHIGH AVE, CHICAGO, IL, 60646","(41.997974799017584, -87.76616159362811)",fire_stations,98,fire_stations98
0,"3510 S Michigan Ave, Chicago, IL, 60653","(41.8307016873, -87.6233953459)",police_stations,99,police_stations99
1,"1160 N Larrabee St, Chicago, IL, 60610","(41.9032416531, -87.6433521393)",police_stations,100,police_stations100
2,"850 W Addison St, Chicago, IL, 60613","(41.9474004564, -87.651512018)",police_stations,101,police_stations101
3,"5400 N Lincoln Ave, Chicago, IL, 60625","(41.9795495131, -87.6928445094)",police_stations,102,police_stations102
4,"1900 W Monterey Ave, Chicago, IL, 60643","(41.6914347795, -87.6685203937)",police_stations,103,police_stations103
5,"6464 N Clark St, Chicago, IL, 60626","(41.9997634842, -87.6713242922)",police_stations,104,police_stations104
6,"5555 W Grand Ave, Chicago, IL, 60639","(41.9186088912, -87.765574479)",police_stations,105,police_stations105
7,"1718 S State St, Chicago, IL, 60616","(41.8583725929, -87.627356171)",police_stations,106,police_stations106
8,"5101 S Wentworth Ave, Chicago, IL, 60609","(41.8018110912, -87.6305601801)",police_stations,107,police_stations107
9,"7040 S Cottage Grove Ave, Chicago, IL, 60637","(41.7664308925, -87.6057478606)",police_stations,108,police_stations108
10,"2255 E 103rd St, Chicago, IL, 60617","(41.7079332906, -87.5683491228)",police_stations,109,police_stations109
11,"727 E 111th St, Chicago, IL, 60628","(41.6927233639, -87.6045058667)",police_stations,110,police_stations110
12,"7808 S Halsted St, Chicago, IL, 60620","(41.7521368378, -87.6442289066)",police_stations,111,police_stations111
13,"1438 W 63rd St, Chicago, IL, 60636","(41.7796315359, -87.6608870173)",police_stations,112,police_stations112
14,"3420 W 63rd St, Chicago, IL, 60629","(41.778987189, -87.7088638153)",police_stations,113,police_stations113
15,"3120 S Halsted St, Chicago, IL, 60608","(41.8373944311, -87.6464077068)",police_stations,114,police_stations114
16,"3315 W Ogden Ave, Chicago, IL, 60623","(41.8566845327, -87.708381958)",police_stations,115,police_stations115
17,"3151 W Harrison St, Chicago, IL, 60612","(41.8735822883, -87.705488126)",police_stations,116,police_stations116
18,"1412 S Blue Island Ave
, Chicago, IL, 60608","(41.8629766244, -87.6569725149)",police_stations,117,police_stations117
19,"2150 N California Ave, Chicago, IL, 60647","(41.9211033246, -87.6974518223)",police_stations,118,police_stations118
20,"5701 W Madison St, Chicago, IL, 60644","(41.8800834614, -87.768199889)",police_stations,119,police_stations119
21,"5151 N Milwaukee Ave, Chicago, IL, 60630","(41.9740944511, -87.7661488432)",police_stations,120,police_stations120
22,"4650 N Pulaski Rd, Chicago, IL, 60630","(41.9660534171, -87.728114561)",police_stations,121,police_stations121
0,"6120 S Kedzie Ave , Chicago, IL, 60629","(41.781976295716, -87.703294320756)",warming_centers,122,warming_centers122
1,"1101 W Taylor St, Chicago, IL, 60607","(41.86943247967, -87.654442529251)",warming_centers,123,warming_centers123
2,"8148 S Stony Island Ave , Chicago, IL, 60617","(41.746342273519, -87.585878217737)",warming_centers,124,warming_centers124
3,"2255 E 103rd St, Chicago, IL, 60617","(41.708010995084, -87.567606260854)",warming_centers,125,warming_centers125
4,"4314 S Cottage Grove Ave, Chicago, IL, 60653","(41.816273554518, -87.606697522715)",warming_centers,126,warming_centers126
5,"2311 S Kedzie Ave, Chicago, IL, 60623","(41.849672638623, -87.705112913396)",warming_centers,127,warming_centers127
6,"6423 W 63rd Place, Chicago, IL, 60638","(41.776696025249, -87.781792934154)",warming_centers,128,warming_centers128
7,"100 S Racine Ave, Chicago, IL, 60607","(41.880292540229, -87.657186052803)",warming_centers,129,warming_centers129
8,"3647 S State St, Chicago, IL, 60609","(41.828144605304, -87.626455627699)",warming_centers,130,warming_centers130
9,"400 S State St, Chicago, IL, 60605","(41.876895532792, -87.627724810386)",warming_centers,131,warming_centers131
10,"8530 S Kedzie Ave, Chicago, IL, 60652","(41.738365456793, -87.702155026949)",warming_centers,132,warming_centers132
11,"1210 W Elmdale Ave, Chicago, IL, 60660","(41.990942289427, -87.660789876864)",warming_centers,133,warming_centers133
12,"1745 W 63rd St, Chicago, IL, 60636","(41.779344520875, -87.668146107172)",warming_centers,134,warming_centers134
13,"1805 S Loomis St, Chicago, IL, 60608","(41.857820778175, -87.66122498708)",warming_centers,135,warming_centers135
14,"7506 S Racine Ave, Chicago, IL, 60620","(41.757451722089, -87.653982260573)",warming_centers,136,warming_centers136
15,"1900 W Monterey Ave, Chicago, IL, 60643","(41.691375104539, -87.668498787512)",warming_centers,137,warming_centers137
16,"727 E 111th St, Chicago, IL, 60628","(41.692768796775, -87.605464619662)",warming_centers,138,warming_centers138
17,"3030 W Fullerton Ave, Chicago, IL, 60647","(41.924785750573, -87.703419606967)",warming_centers,139,warming_centers139
18,"4904 S Lake Park Ave, Chicago, IL, 60615","(41.805498563171, -87.589114605823)",warming_centers,140,warming_centers140
19,"4314 S Archer Ave, Chicago, IL, 60632","(41.815124935655, -87.702669516901)",warming_centers,141,warming_centers141
20,"2708 S Pulaski Rd, Chicago, IL, 60623","(41.842057117098, -87.724526694994)",warming_centers,142,warming_centers142
21,"6151 S Normal Blvd, Chicago, IL, 60621","(41.78234349533, -87.637468750753)",warming_centers,143,warming_centers143
22,"845 W Wilson Ave, Chicago, IL, 60640","(41.968003546532, -87.654887232778)",warming_centers,144,warming_centers144
23,"5440 S Racine Ave, Chicago, IL, 60609","(41.79522560459, -87.654973222955)",warming_centers,145,warming_centers145
24,"5724 W North Ave, Chicago, IL, 60639","(41.909385967328, -87.768867460517)",warming_centers,146,warming_centers146
25,"9525 S Halsted St, Chicago, IL, 60628","(41.720961701396, -87.643056534378)",warming_centers,147,warming_centers147
26,"850 W Addison St, Chicago, IL, 60613","(41.947345080718, -87.650960732323)",warming_centers,148,warming_centers148
27,"4101 W 79th St, Chicago, IL, 60652","(41.749352804211, -87.724361248113)",warming_centers,149,warming_centers149
28,"6871 W Belden Ave, Chicago, IL, 60707","(41.921096092371, -87.797287844088)",warming_centers,150,warming_centers150
29,"7040 S Cottage Grove Ave, Chicago, IL, 60637","(41.766487809915, -87.605654220377)",warming_centers,151,warming_centers151
30,"5400 N Lincoln Ave, Chicago, IL, 60625","(41.979680367241, -87.692753647699)",warming_centers,152,warming_centers152
31,"5701 W Madison St, Chicago, IL, 60644","(41.880161391479, -87.768332671042)",warming_centers,153,warming_centers153
32,"11010 S Kedzie Ave, Chicago, IL, 60655","(41.692985497521, -87.700910498505)",warming_centers,154,warming_centers154
33,"2102 W Ogden Ave, Chicago, IL, 60612","(41.870607218318, -87.679074709073)",warming_centers,155,warming_centers155
34,"6907 N Clark St, Chicago, IL, 60626","(42.006781595899, -87.673362576821)",warming_centers,156,warming_centers156
35,"929 W Buena Ave, Chicago, IL, 60613","(41.958378193684, -87.653499289251)",warming_centers,157,warming_centers157
36,"1915 W 35th St, Chicago, IL, 60609","(41.830351580058, -87.673430993183)",warming_centers,158,warming_centers158
37,"5363 W Lawrence Ave, Chicago, IL, 60630","(41.967562324592, -87.761721768496)",warming_centers,159,warming_centers159
38,"5101 S Wentworth Ave, Chicago, IL, 60609","(41.80181236132, -87.630635163816)",warming_centers,160,warming_centers160
39,"2401 E 100th St, Chicago, IL, 60617","(41.713490039789, -87.565418641571)",warming_centers,161,warming_centers161
40,"163 E Pearson St, Chicago, IL, 60611","(41.897534902299, -87.622998964466)",warming_centers,162,warming_centers162
41,"2505 E 73rd St, Chicago, IL, 60649","(41.761792625983, -87.562136116164)",warming_centers,163,warming_centers163
42,"644 W Belmont Ave, Chicago, IL, 60657","(41.940092802456, -87.645684316254)",warming_centers,164,warming_centers164
43,"1962 W 95th St, Chicago, IL, 60643","(41.721201982995, -87.671825936185)",warming_centers,165,warming_centers165
44,"6435 N California Ave, Chicago, IL, 60645","(41.998212242087, -87.699587919718)",warming_centers,166,warming_centers166
45,"6348 S Archer Ave, Chicago, IL, 60638","(41.792819235993, -87.780185735388)",warming_centers,167,warming_centers167
46,"1000 East 73rd St, Chicago, IL, 60619","(41.76231423276, -87.60040226851)",warming_centers,168,warming_centers168
47,"13281 S. Corliss Ave, Chicago, IL, 60827","(41.654748194923, -87.602203293403)",warming_centers,169,warming_centers169
48,"11071 S Hoyne Ave, Chicago, IL, 60643","(41.692425806406, -87.674134473545)",warming_centers,170,warming_centers170
49,"2353 S Wentworth Ave, Chicago, IL, 60616","(41.849761420501, -87.631870886234)",warming_centers,171,warming_centers171
50,"830 W 119th St, Chicago, IL, 60643","(41.67784254808, -87.643516927175)",warming_centers,172,warming_centers172
51,"7454 W Balmoral Ave, Chicago, IL, 60656","(41.978060491792, -87.81330682611)",warming_centers,173,warming_centers173
52,"2807 W 55th St, Chicago, IL, 60632","(41.793664598701, -87.694129610404)",warming_centers,174,warming_centers174
53,"733 N Kedzie Ave, Chicago, IL, 60612","(41.894693625756, -87.706461802397)",warming_centers,175,warming_centers175
54,"4400 W Lawrence Ave, Chicago, IL, 60630","(41.968151058826, -87.738250349161)",warming_centers,176,warming_centers176
55,"3151 W Harrison St, Chicago, IL, 60612","(41.873635693753, -87.704701391361)",warming_centers,177,warming_centers177
56,"7808 S Halsted St, Chicago, IL, 60620","(41.752273769729, -87.644135305857)",warming_centers,178,warming_centers178
57,"3353 W 13th St, Chicago, IL, 60623","(41.864470352773, -87.709657427614)",warming_centers,179,warming_centers179
58,"1150 W Fullerton Ave, Chicago, IL, 60614","(41.92531635057, -87.658066797029)",warming_centers,180,warming_centers180
59,"6117 S Kedzie Ave, Chicago, IL, 60629","(41.782294687023, -87.703156609494)",warming_centers,181,warming_centers181
60,"731 E 63rd St, Chicago, IL, 60637","(41.780327339343, -87.607135243381)",warming_centers,182,warming_centers182
61,"310 W Division St, Chicago, IL, 60610","(41.90383476841, -87.636911055642)",warming_centers,183,warming_centers183
62,"3048 E 130th St, Chicago, IL, 60633","(41.659236250907, -87.549209892972)",warming_centers,184,warming_centers184
63,"3436 S King Drive, Chicago, IL, 60616","(41.832255136353, -87.617399311871)",warming_centers,185,warming_centers185
64,"6464 N Clark St, Chicago, IL, 60626","(41.999646075962, -87.671190518094)",warming_centers,186,warming_centers186
65,"78 E Washington St, Chicago, IL, 60602","(41.883274941225, -87.625222190475)",warming_centers,187,warming_centers187
66,"115 S Pulaski Rd, Chicago, IL, 60624","(41.879308259799, -87.725536764567)",warming_centers,188,warming_centers188
67,"5555 W Grand Ave, Chicago, IL, 60639","(41.918443447301, -87.764380709661)",warming_centers,189,warming_centers189
68,"10 S Kedzie Ave, Chicago, IL, 60612","(41.880833513368, -87.706178301057)",warming_centers,190,warming_centers190
69,"3420 W 63rd St, Chicago, IL, 60629","(41.77891571742, -87.708869498464)",warming_centers,191,warming_centers191
70,"8650 S Commercial Ave, Chicago, IL, 60617","(41.737672809157, -87.551470156896)",warming_centers,192,warming_centers192
71,"1160 N Larrabee St, Chicago, IL, 60610","(41.903246987971, -87.643218990325)",warming_centers,193,warming_centers193
72,"1659 W Melrose St, Chicago, IL, 60657","(41.94051995056, -87.670265910762)",warming_centers,194,warming_centers194
73,"4856 W Chicago Ave, Chicago, IL, 60651","(41.895009198183, -87.747891081316)",warming_centers,195,warming_centers195
74,"1701 N Milwaukee Ave, Chicago, IL, 60647","(41.912276181145, -87.680343003695)",warming_centers,196,warming_centers196
75,"5150 N Kimball Ave, Chicago, IL, 60625","(41.97484541005, -87.71358529181)",warming_centers,197,warming_centers197
76,"5055 S Archer Ave, Chicago, IL, 60632","(41.801151640839, -87.726486375821)",warming_centers,198,warming_centers198
77,"5615 W. Race Ave, Chicago, IL, 60644","(41.889239714781, -87.765721907108)",warming_centers,199,warming_centers199
78,"3710 E 106th St, Chicago, IL, 60617","(41.7027701212, -87.533510695971)",warming_centers,200,warming_centers200
79,"9055 S Houston Ave, Chicago, IL, 60617","(41.730911784724, -87.549776198134)",warming_centers,201,warming_centers201
80,"5108 W Belmont Ave, Chicago, IL, 60641","(41.938785132223, -87.754632219387)",warming_centers,202,warming_centers202
81,"1226 W Ainslie St, Chicago, IL, 60640","(41.971507829063, -87.660109414973)",warming_centers,203,warming_centers203
82,"5331 W Devon Ave, Chicago, IL, 60646","(41.997244126474, -87.762118355819)",warming_centers,204,warming_centers204
83,"1718 S State St, Chicago, IL, 60616","(41.858753483297, -87.627369119791)",warming_centers,205,warming_centers205
84,"1438 W 63rd St, Chicago, IL, 60636","(41.779554236061, -87.66086368854)",warming_centers,206,warming_centers206
85,"3104 N Narragansett Ave, Chicago, IL, 60634","(41.936611588053, -87.785949733447)",warming_centers,207,warming_centers207
86,"5151 N Milwaukee Ave, Chicago, IL, 60630","(41.974068750644, -87.766223255962)",warming_centers,208,warming_centers208
87,"7901 S King Drive, Chicago, IL, 60619","(41.751087876725, -87.614879554056)",warming_centers,209,warming_centers209
88,"6083 N Northwest Highway, Chicago, IL, 60631","(41.991950843185, -87.798216749286)",warming_centers,210,warming_centers210
89,"4801 S Michigan Ave, Chicago, IL, 60615","(41.807406361742, -87.622729231002)",warming_centers,211,warming_centers211
90,"4455 N Lincoln Ave, Chicago, IL, 60625","(41.962503821186, -87.684481337649)",warming_centers,212,warming_centers212
91,"11001 S Indiana Ave, Chicago, IL, 60628","(41.694399347866, -87.618214239545)",warming_centers,213,warming_centers213
92,"3120 S Halsted St, Chicago, IL, 60608","(41.837703129896, -87.64635129661)",warming_centers,214,warming_centers214
93,"1767 E 79th St, Chicago, IL, 60649","(41.751485284224, -87.581279114899)",warming_centers,215,warming_centers215
94,"7455 W Cornelia Ave, Chicago, IL, 60634","(41.943275230685, -87.813422762481)",warming_centers,216,warming_centers216
95,"642 W 43rd St, Chicago, IL, 60609","(41.815338259607, -87.642562485244)",warming_centers,217,warming_centers217
96,"1140 W 79th St, Chicago, IL, 60620","(41.750524120955, -87.652931668242)",warming_centers,218,warming_centers218
97,"2150 N California Ave, Chicago, IL, 60647","(41.920943814403, -87.697369446149)",warming_centers,219,warming_centers219
98,"3160 N Milwaukee Ave, Chicago, IL, 60618","(41.938325732152, -87.722655957667)",warming_centers,220,warming_centers220
99,"937 N Wood St, Chicago, IL, 60622","(41.898688275176, -87.672171391149)",warming_centers,221,warming_centers221
100,"2019 W Lawrence Ave, Chicago, IL, 60625","(41.968694977057, -87.679757685176)",warming_centers,222,warming_centers222
101,"5630 N Lincoln Ave, Chicago, IL, 60659","(41.984663209242, -87.697839323351)",warming_centers,223,warming_centers223
102,"3315 W Ogden Ave, Chicago, IL, 60623","(41.856617140752, -87.708617688296)",warming_centers,224,warming_centers224
103,"3548 W Irving Park Rd, Chicago, IL, 60618","(41.953843708798, -87.716917711174)",warming_centers,225,warming_centers225
104,"1625 W Chicago Ave, Chicago, IL, 60622","(41.896034425296, -87.668498932569)",warming_centers,226,warming_centers226
105,"4300 W North Ave, Chicago, IL, 60639","(41.909821032005, -87.734320311893)",warming_centers,227,warming_centers227
106,"4650 N Pulaski Rd, Chicago, IL, 60630","(41.966172550361, -87.728016064468)",warming_centers,228,warming_centers228
107,"3400 S Halsted St, Chicago, IL, 60608","(41.832544599344, -87.646223807591)",warming_centers,229,warming_centers229
108,"6 S Hoyne Ave, Chicago, IL, 60612","(41.881177180457, -87.679163444334)",warming_centers,230,warming_centers230
