,full_address,coords,category
61,"1901 N DAMEN AVE, CHICAGO, IL, 60647","41.91622975167794, -87.67720585176635",Fire station
62,"11958 S STATE ST, CHICAGO, IL, 60628","41.67673026792751, -87.62265939976201",Fire station
63,"11940 S PEORIA ST, CHICAGO, IL, 60643","41.676767520058746, -87.64436386377967",Fire station
64,"55 W ILLINOIS ST, CHICAGO, IL, 60654","41.89080151108816, -87.63009284126726",Fire station
65,"2718 N HALSTED ST, CHICAGO, IL, 60614","41.93179744380986, -87.64899361595215",Fire station
66,"1440 E 67TH ST, CHICAGO, IL, 60637","41.77330654417221, -87.59020200469239",Fire station
67,"5212 W HARRISON ST, CHICAGO, IL, 60644","41.872982656337946, -87.75506878145924",Fire station
68,"1125 N ASHLAND AVE, CHICAGO, IL, 60622","41.90220932124115, -87.66707948571641",Fire station
69,"1724 W 95TH ST, CHICAGO, IL, 60643","41.72124683806391, -87.66576328672551",Fire station
70,"330 W 104TH ST, CHICAGO, IL, 60628","41.7052439476399, -87.6324331863445",Fire station
71,"12701 S DOTY AVE, CHICAGO, IL, 60633","41.66260010624714, -87.59059746685327",Fire station
72,"1747 N PULASKI RD, CHICAGO, IL, 60639","41.912618217810966, -87.72638113254548",Fire station
73,"4017 N TRIPP AVE, CHICAGO, IL, 60641","41.953786251061175, -87.7339286805089",Fire station
74,"259 N COLUMBUS DR, CHICAGO, IL, 60601","41.88646360558985, -87.62061359066273",Fire station
75,"1618 W 33RD PL, CHICAGO, IL, 60608","41.83346514532146, -87.66635103487269",Fire station
76,"3509 S LOWE AVE, CHICAGO, IL, 60609","41.83078516567415, -87.64213229262364",Fire station
77,"2179 N STAVE ST, CHICAGO, IL, 60647","41.92093320589118, -87.69644234997307",Fire station
78,"439 N WALLER AVE, CHICAGO, IL, 60644","41.88832430415244, -87.76761633819585",Fire station
79,"34 E 114TH ST, CHICAGO, IL, 60628","41.68740625454284, -87.62413685881735",Fire station
80,"7974 S SOUTH CHICAGO AVE, CHICAGO, IL, 60617","41.749827955664045, -87.58341162594515",Fire station
81,"7101 S PARNELL AVE, CHICAGO, IL, 60621","41.76525963399459, -87.63830544212665",Fire station
82,"3027 E 93RD ST, CHICAGO, IL, 60617","41.72641224082973, -87.55007769314022",Fire station
83,"5200 W 63RD ST, CHICAGO, IL, 60638","41.77750932865842, -87.75197548528234",Fire station
84,"4600 S COTTAGE GROVE AVE, CHICAGO, IL, 60653","41.81134320681739, -87.60662556802056",Fire station
85,"2323 N NATCHEZ AVE, CHICAGO, IL, 60707","41.92208525379962, -87.78775414416",Fire station
86,"3042 S KEDVALE AVE, CHICAGO, IL, 60623","41.837386198391975, -87.72806083645415",Fire station
87,"3421 S CALUMET AVE, CHICAGO, IL, 60616","41.83227804024279, -87.61779663851078",Fire station
88,"10 N LEAVITT ST, CHICAGO, IL, 60612","41.88151592134697, -87.68185534665783",Fire station
89,"817 E 91ST ST, CHICAGO, IL, 60619","41.72933327959225, -87.60425730151255",Fire station
90,"4034 W 47TH ST, CHICAGO, IL, 60632","41.80790024096418, -87.72485128276466",Fire station
91,"6424 N LEHIGH AVE, CHICAGO, IL, 60646","41.997974799017584, -87.76616159362811",Fire station
