,full_address,coords,category,isochrone
0,"324 S DESPLAINES ST, CHICAGO, IL, 60661","(41.877028304420755, -87.64430865193455)",Fire station,"[TimeMapResult(search_id='Search 0', shapes=[Shape(shell=[Coordinates(lat=41.87475, lng=-87.710045), Coordinates(lat=41.87475, lng=-87.71245), Coordinates(lat=41.872047, lng=-87.71606), Coordinates(lat=41.871147, lng=-87.71485), Coordinates(lat=41.871147, lng=-87.707634), Coordinates(lat=41.872047, lng=-87.70643), Coordinates(lat=41.873848, lng=-87.70884), Coordinates(lat=41.87565, lng=-87.70643), Coordinates(lat=41.87655, lng=-87.707634), Coordinates(lat=41.87475, lng=-87.710045)], holes=[]), Shape(shell=[Coordinates(lat=41.93507, lng=-87.69681), Coordinates(lat=41.93597, lng=-87.69801), Coordinates(lat=41.93597, lng=-87.70042), Coordinates(lat=41.93687, lng=-87.70162), Coordinates(lat=41.93867, lng=-87.70162), Coordinates(lat=41.93957, lng=-87.70282), Coordinates(lat=41.93867, lng=-87.704025), Coordinates(lat=41.93327, lng=-87.704025), Coordinates(lat=41.93237, lng=-87.70282), Coordinates(lat=41.93417, lng=-87.70042), Coordinates(lat=41.93327, lng=-87.69921), Coordinates(lat=41.93147, lng=-87.69921), Coordinates(lat=41.93057, lng=-87.69801), Coordinates(lat=41.93147, lng=-87.69681), Coordinates(lat=41.93507, lng=-87.69681)], holes=[]), Shape(shell=[Coordinates(lat=41.919765, lng=-87.68598), Coordinates(lat=41.919765, lng=-87.68357), Coordinates(lat=41.916164, lng=-87.67876), Coordinates(lat=41.916164, lng=-87.67635), Coordinates(lat=41.913464, lng=-87.672745), Coordinates(lat=41.911663, lng=-87.67515), Coordinates(lat=41.90626, lng=-87.67515), Coordinates(lat=41.90446, lng=-87.672745), Coordinates(lat=41.900856, lng=-87.672745), Coordinates(lat=41.899055, lng=-87.67515), Coordinates(lat=41.892754, lng=-87.666725), Coordinates(lat=41.892754, lng=-87.66432), Coordinates(lat=41.891853, lng=-87.66312), Coordinates(lat=41.88285, lng=-87.66312), Coordinates(lat=41.88195, lng=-87.66432), Coordinates(lat=41.88195, lng=-87.669136), Coordinates(lat=41.88015, lng=-87.67154), Coordinates(lat=41.88015, lng=-87.67395), Coordinates(lat=41.88195, lng=-87.67635), Coordinates(lat=41.87835, lng=-87.68117), Coordinates(lat=41.88195, lng=-87.68598), Coordinates(lat=41.88105, lng=-87.68718), Coordinates(lat=41.87925, lng=-87.68718), Coordinates(lat=41.87835, lng=-87.688385), Coordinates(lat=41.87835, lng=-87.6932), Coordinates(lat=41.88015, lng=-87.6956), Coordinates(lat=41.87565, lng=-87.70162), Coordinates(lat=41.873848, lng=-87.70162), Coordinates(lat=41.871147, lng=-87.69801), Coordinates(lat=41.871147, lng=-87.688385), Coordinates(lat=41.870247, lng=-87.68718), Coordinates(lat=41.868446, lng=-87.68718), Coordinates(lat=41.867546, lng=-87.68598), Coordinates(lat=41.869347, lng=-87.68357), Coordinates(lat=41.869347, lng=-87.67635), Coordinates(lat=41.868446, lng=-87.67515), Coordinates(lat=41.866646, lng=-87.67756), Coordinates(lat=41.865746, lng=-87.67635), Coordinates(lat=41.867546, lng=-87.67395), Coordinates(lat=41.867546, lng=-87.669136), Coordinates(lat=41.865746, lng=-87.666725), Coordinates(lat=41.865746, lng=-87.66192), Coordinates(lat=41.864845, lng=-87.66071), Coordinates(lat=41.861244, lng=-87.66071), Coordinates(lat=41.858543, lng=-87.657104), Coordinates(lat=41.860344, lng=-87.65469), Coordinates(lat=41.857643, lng=-87.651085), Coordinates(lat=41.855843, lng=-87.651085), Coordinates(lat=41.852238, lng=-87.6559), Coordinates(lat=41.851337, lng=-87.65469), Coordinates(lat=41.851337, lng=-87.65229), Coordinates(lat=41.847736, lng=-87.64748), Coordinates(lat=41.851337, lng=-87.64266), Coordinates(lat=41.849537, lng=-87.64026), Coordinates(lat=41.852238, lng=-87.63665), Coordinates(lat=41.855843, lng=-87.63665), Coordinates(lat=41.856743, lng=-87.635445), Coordinates(lat=41.854942, lng=-87.63304), Coordinates(lat=41.857643, lng=-87.62943), Coordinates(lat=41.859444, lng=-87.62943), Coordinates(lat=41.860344, lng=-87.63063), Coordinates(lat=41.859444, lng=-87.631836), Coordinates(lat=41.857643, lng=-87.631836), Coordinates(lat=41.856743, lng=-87.63304), Coordinates(lat=41.859444, lng=-87.63665), Coordinates(lat=41.863045, lng=-87.63665), Coordinates(lat=41.864845, lng=-87.63905), Coordinates(lat=41.865746, lng=-87.637856), Coordinates(lat=41.865746, lng=-87.63063), Coordinates(lat=41.866646, lng=-87.62943), Coordinates(lat=41.872047, lng=-87.62943), Coordinates(lat=41.873848, lng=-87.62702), Coordinates(lat=41.87925, lng=-87.62702), Coordinates(lat=41.88105, lng=-87.62943), Coordinates(lat=41.88645, lng=-87.62943), Coordinates(lat=41.888252, lng=-87.631836), Coordinates(lat=41.889153, lng=-87.63063), Coordinates(lat=41.889153, lng=-87.62823), Coordinates(lat=41.888252, lng=-87.62702), Coordinates(lat=41.88645, lng=-87.62702), Coordinates(lat=41.88555, lng=-87.625824), Coordinates(lat=41.88555, lng=-87.62341), Coordinates(lat=41.888252, lng=-87.619804), Coordinates(lat=41.890053, lng=-87.619804), Coordinates(lat=41.890953, lng=-87.62101), Coordinates(lat=41.889153, lng=-87.62341), Coordinates(lat=41.891853, lng=-87.62702), Coordinates(lat=41.893654, lng=-87.62702), Coordinates(lat=41.894554, lng=-87.62823), Coordinates(lat=41.894554, lng=-87.63063), Coordinates(lat=41.895454, lng=-87.631836), Coordinates(lat=41.899055, lng=-87.631836), Coordinates(lat=41.899956, lng=-87.63304), Coordinates(lat=41.898155, lng=-87.635445), Coordinates(lat=41.899055, lng=-87.63665), Coordinates(lat=41.900856, lng=-87.63665), Coordinates(lat=41.901756, lng=-87.637856), Coordinates(lat=41.898155, lng=-87.64266), Coordinates(lat=41.898155, lng=-87.64507), Coordinates(lat=41.899055, lng=-87.64628), Coordinates(lat=41.900856, lng=-87.64387), Coordinates(lat=41.902657, lng=-87.64387), Coordinates(lat=41.90446, lng=-87.64628), Coordinates(lat=41.90626, lng=-87.64628), Coordinates(lat=41.90716, lng=-87.64748), Coordinates(lat=41.90716, lng=-87.65229), Coordinates(lat=41.908062, lng=-87.653496), Coordinates(lat=41.909863, lng=-87.651085), Coordinates(lat=41.911663, lng=-87.653496), Coordinates(lat=41.913464, lng=-87.653496), Coordinates(lat=41.914364, lng=-87.65469), Coordinates(lat=41.914364, lng=-87.657104), Coordinates(lat=41.91594, lng=-87.65951), Coordinates(lat=41.917065, lng=-87.65831), Coordinates(lat=41.917965, lng=-87.65951), Coordinates(lat=41.917965, lng=-87.66432), Coordinates(lat=41.918865, lng=-87.66553), Coordinates(lat=41.91999, lng=-87.666725), Coordinates(lat=41.92134, lng=-87.666725), Coordinates(lat=41.922466, lng=-87.66553), Coordinates(lat=41.925167, lng=-87.669136), Coordinates(lat=41.924267, lng=-87.670334), Coordinates(lat=41.924267, lng=-87.67515), Coordinates(lat=41.926067, lng=-87.67515), Coordinates(lat=41.92877, lng=-87.67876), Coordinates(lat=41.92877, lng=-87.68117), Coordinates(lat=41.926968, lng=-87.68357), Coordinates(lat=41.927868, lng=-87.68478), Coordinates(lat=41.92967, lng=-87.68478), Coordinates(lat=41.93057, lng=-87.68598), Coordinates(lat=41.93057, lng=-87.69079), Coordinates(lat=41.93237, lng=-87.6932), Coordinates(lat=41.93147, lng=-87.6944), Coordinates(lat=41.92967, lng=-87.69199), Coordinates(lat=41.927868, lng=-87.69199), Coordinates(lat=41.926067, lng=-87.68959), Coordinates(lat=41.924267, lng=-87.68959), Coordinates(lat=41.922466, lng=-87.68718), Coordinates(lat=41.920666, lng=-87.68718), Coordinates(lat=41.919765, lng=-87.68598)], holes=[]), Shape(shell=[Coordinates(lat=41.82973, lng=-87.63063), Coordinates(lat=41.82793, lng=-87.62823), Coordinates(lat=41.82883, lng=-87.62702), Coordinates(lat=41.83063, lng=-87.62702), Coordinates(lat=41.83243, lng=-87.62943), Coordinates(lat=41.834232, lng=-87.62702), Coordinates(lat=41.837833, lng=-87.62702), Coordinates(lat=41.839634, lng=-87.62462), Coordinates(lat=41.840534, lng=-87.625824), Coordinates(lat=41.838734, lng=-87.62823), Coordinates(lat=41.839634, lng=-87.62943), Coordinates(lat=41.843235, lng=-87.62943), Coordinates(lat=41.845036, lng=-87.631836), Coordinates(lat=41.845936, lng=-87.63063), Coordinates(lat=41.845936, lng=-87.625824), Coordinates(lat=41.847736, lng=-87.62341), Coordinates(lat=41.845936, lng=-87.62101), Coordinates(lat=41.845936, lng=-87.616196), Coordinates(lat=41.847736, lng=-87.61379), Coordinates(lat=41.847736, lng=-87.61138), Coordinates(lat=41.848637, lng=-87.61018), Coordinates(lat=41.850437, lng=-87.61018), Coordinates(lat=41.852238, lng=-87.61259), Coordinates(lat=41.854042, lng=-87.61018), Coordinates(lat=41.855843, lng=-87.61259), Coordinates(lat=41.859444, lng=-87.61259), Coordinates(lat=41.860344, lng=-87.61379), Coordinates(lat=41.860344, lng=-87.616196), Coordinates(lat=41.861244, lng=-87.6174), Coordinates(lat=41.863045, lng=-87.6174), Coordinates(lat=41.863945, lng=-87.616196), Coordinates(lat=41.863945, lng=-87.61379), Coordinates(lat=41.864845, lng=-87.61259), Coordinates(lat=41.865746, lng=-87.61379), Coordinates(lat=41.865746, lng=-87.616196), Coordinates(lat=41.866646, lng=-87.6174), Coordinates(lat=41.870247, lng=-87.6174), Coordinates(lat=41.871147, lng=-87.6186), Coordinates(lat=41.868446, lng=-87.622215), Coordinates(lat=41.866646, lng=-87.619804), Coordinates(lat=41.857643, lng=-87.619804), Coordinates(lat=41.855843, lng=-87.6174), Coordinates(lat=41.854042, lng=-87.6174), Coordinates(lat=41.853138, lng=-87.6186), Coordinates(lat=41.853138, lng=-87.62101), Coordinates(lat=41.852238, lng=-87.622215), Coordinates(lat=41.850437, lng=-87.622215), Coordinates(lat=41.849537, lng=-87.62341), Coordinates(lat=41.849537, lng=-87.625824), Coordinates(lat=41.847736, lng=-87.62823), Coordinates(lat=41.847736, lng=-87.63063), Coordinates(lat=41.845036, lng=-87.63425), Coordinates(lat=41.843235, lng=-87.631836), Coordinates(lat=41.841434, lng=-87.63425), Coordinates(lat=41.839634, lng=-87.63425), Coordinates(lat=41.837833, lng=-87.63665), Coordinates(lat=41.836033, lng=-87.63425), Coordinates(lat=41.834232, lng=-87.63425), Coordinates(lat=41.83243, lng=-87.631836), Coordinates(lat=41.83153, lng=-87.63304), Coordinates(lat=41.83153, lng=-87.637856), Coordinates(lat=41.83063, lng=-87.63905), Coordinates(lat=41.82973, lng=-87.637856), Coordinates(lat=41.82973, lng=-87.63063)], holes=[]), Shape(shell=[Coordinates(lat=41.844135, lng=-87.60898), Coordinates(lat=41.843235, lng=-87.61018), Coordinates(lat=41.841434, lng=-87.61018), Coordinates(lat=41.840534, lng=-87.61138), Coordinates(lat=41.840534, lng=-87.61379), Coordinates(lat=41.839634, lng=-87.61499), Coordinates(lat=41.836933, lng=-87.61138), Coordinates(lat=41.836933, lng=-87.606575), Coordinates(lat=41.837833, lng=-87.60537), Coordinates(lat=41.83896, lng=-87.606575), Coordinates(lat=41.843235, lng=-87.60777), Coordinates(lat=41.844135, lng=-87.60898)], holes=[])])]"
1,"5343 N CUMBERLAND AVE, CHICAGO, IL, 60656","(41.97685625348317, -87.836495886321)",Fire station,"[TimeMapResult(search_id='Search 0', shapes=[Shape(shell=[Coordinates(lat=42.026905, lng=-87.94054), Coordinates(lat=42.026005, lng=-87.94174), Coordinates(lat=42.024204, lng=-87.94174), Coordinates(lat=42.022404, lng=-87.94415), Coordinates(lat=42.019703, lng=-87.94054), Coordinates(lat=42.022404, lng=-87.93692), Coordinates(lat=42.024204, lng=-87.93933), Coordinates(lat=42.026005, lng=-87.93933), Coordinates(lat=42.026905, lng=-87.94054)], holes=[]), Shape(shell=[Coordinates(lat=42.0071, lng=-87.938126), Coordinates(lat=42.0071, lng=-87.935715), Coordinates(lat=42.0053, lng=-87.933304), Coordinates(lat=42.0071, lng=-87.93089), Coordinates(lat=42.0071, lng=-87.92366), Coordinates(lat=42.0053, lng=-87.92125), Coordinates(lat=42.0071, lng=-87.91884), Coordinates(lat=42.0071, lng=-87.91402), Coordinates(lat=42.003494, lng=-87.909195), Coordinates(lat=42.003494, lng=-87.90437), Coordinates(lat=42.0053, lng=-87.90196), Coordinates(lat=42.003494, lng=-87.89955), Coordinates(lat=42.003494, lng=-87.89714), Coordinates(lat=42.002594, lng=-87.895935), Coordinates(lat=42.000793, lng=-87.895935), Coordinates(lat=41.998993, lng=-87.893524), Coordinates(lat=41.997192, lng=-87.895935), Coordinates(lat=41.99539, lng=-87.895935), Coordinates(lat=41.99359, lng=-87.898346), Coordinates(lat=41.99089, lng=-87.89473), Coordinates(lat=41.99089, lng=-87.89232), Coordinates(lat=41.98819, lng=-87.8887), Coordinates(lat=41.98459, lng=-87.8887), Coordinates(lat=41.981888, lng=-87.89232), Coordinates(lat=41.98549, lng=-87.89714), Coordinates(lat=41.98549, lng=-87.90196), Coordinates(lat=41.98369, lng=-87.90437), Coordinates(lat=41.98369, lng=-87.906784), Coordinates(lat=41.980988, lng=-87.9104), Coordinates(lat=41.977386, lng=-87.9104), Coordinates(lat=41.972885, lng=-87.90437), Coordinates(lat=41.973785, lng=-87.90317), Coordinates(lat=41.975586, lng=-87.90317), Coordinates(lat=41.976486, lng=-87.90196), Coordinates(lat=41.976486, lng=-87.89473), Coordinates(lat=41.975586, lng=-87.893524), Coordinates(lat=41.973785, lng=-87.893524), Coordinates(lat=41.971085, lng=-87.88991), Coordinates(lat=41.971085, lng=-87.885086), Coordinates(lat=41.971985, lng=-87.88388), Coordinates(lat=41.973785, lng=-87.88388), Coordinates(lat=41.974686, lng=-87.882675), Coordinates(lat=41.974686, lng=-87.880264), Coordinates(lat=41.973785, lng=-87.87906), Coordinates(lat=41.970184, lng=-87.87906), Coordinates(lat=41.968384, lng=-87.88147), Coordinates(lat=41.966583, lng=-87.88147), Coordinates(lat=41.963882, lng=-87.885086), Coordinates(lat=41.963882, lng=-87.8875), Coordinates(lat=41.962982, lng=-87.8887), Coordinates(lat=41.96118, lng=-87.8887), Coordinates(lat=41.96028, lng=-87.88991), Coordinates(lat=41.96028, lng=-87.89232), Coordinates(lat=41.95758, lng=-87.895935), Coordinates(lat=41.95578, lng=-87.893524), Coordinates(lat=41.95308, lng=-87.89714), Coordinates(lat=41.95308, lng=-87.89955), Coordinates(lat=41.95218, lng=-87.90076), Coordinates(lat=41.951054, lng=-87.89955), Coordinates(lat=41.95038, lng=-87.89865), Coordinates(lat=41.94948, lng=-87.89714), Coordinates(lat=41.948578, lng=-87.893524), Coordinates(lat=41.946777, lng=-87.893524), Coordinates(lat=41.945877, lng=-87.89232), Coordinates(lat=41.945877, lng=-87.88991), Coordinates(lat=41.944077, lng=-87.8875), Coordinates(lat=41.944077, lng=-87.885086), Coordinates(lat=41.943176, lng=-87.88388), Coordinates(lat=41.941376, lng=-87.88388), Coordinates(lat=41.940475, lng=-87.882675), Coordinates(lat=41.940475, lng=-87.880264), Coordinates(lat=41.938675, lng=-87.87785), Coordinates(lat=41.938675, lng=-87.87303), Coordinates(lat=41.942276, lng=-87.86821), Coordinates(lat=41.942276, lng=-87.86098), Coordinates(lat=41.940475, lng=-87.85857), Coordinates(lat=41.942276, lng=-87.856155), Coordinates(lat=41.941376, lng=-87.85495), Coordinates(lat=41.939575, lng=-87.85495), Coordinates(lat=41.93597, lng=-87.85977), Coordinates(lat=41.93507, lng=-87.85857), Coordinates(lat=41.93507, lng=-87.853745), Coordinates(lat=41.93417, lng=-87.85254), Coordinates(lat=41.93057, lng=-87.85254), Coordinates(lat=41.92967, lng=-87.85133), Coordinates(lat=41.92967, lng=-87.84651), Coordinates(lat=41.93057, lng=-87.84531), Coordinates(lat=41.93147, lng=-87.84651), Coordinates(lat=41.93147, lng=-87.84892), Coordinates(lat=41.93237, lng=-87.85013), Coordinates(lat=41.93417, lng=-87.84772), Coordinates(lat=41.93597, lng=-87.84772), Coordinates(lat=41.93687, lng=-87.84651), Coordinates(lat=41.93687, lng=-87.8441), Coordinates(lat=41.93597, lng=-87.842896), Coordinates(lat=41.92877, lng=-87.842896), Coordinates(lat=41.924267, lng=-87.83687), Coordinates(lat=41.924267, lng=-87.824814), Coordinates(lat=41.926968, lng=-87.8212), Coordinates(lat=41.927868, lng=-87.8224), Coordinates(lat=41.927868, lng=-87.827225), Coordinates(lat=41.92967, lng=-87.829636), Coordinates(lat=41.92967, lng=-87.83205), Coordinates(lat=41.93057, lng=-87.83325), Coordinates(lat=41.93237, lng=-87.83325), Coordinates(lat=41.93327, lng=-87.83205), Coordinates(lat=41.93327, lng=-87.829636), Coordinates(lat=41.93147, lng=-87.827225), Coordinates(lat=41.93327, lng=-87.824814), Coordinates(lat=41.93327, lng=-87.8224), Coordinates(lat=41.93237, lng=-87.8212), Coordinates(lat=41.93057, lng=-87.8212), Coordinates(lat=41.92967, lng=-87.81999), Coordinates(lat=41.93057, lng=-87.81879), Coordinates(lat=41.93237, lng=-87.81879), Coordinates(lat=41.93327, lng=-87.81758), Coordinates(lat=41.93327, lng=-87.81517), Coordinates(lat=41.93687, lng=-87.81035), Coordinates(lat=41.93687, lng=-87.80794), Coordinates(lat=41.941376, lng=-87.80191), Coordinates(lat=41.943176, lng=-87.80191), Coordinates(lat=41.944977, lng=-87.7995), Coordinates(lat=41.946777, lng=-87.80191), Coordinates(lat=41.948578, lng=-87.7995), Coordinates(lat=41.95038, lng=-87.7995), Coordinates(lat=41.95128, lng=-87.798294), Coordinates(lat=41.95128, lng=-87.79588), Coordinates(lat=41.95218, lng=-87.79468), Coordinates(lat=41.95398, lng=-87.79468), Coordinates(lat=41.95578, lng=-87.79227), Coordinates(lat=41.95758, lng=-87.79227), Coordinates(lat=41.96028, lng=-87.78865), Coordinates(lat=41.96028, lng=-87.78624), Coordinates(lat=41.96118, lng=-87.785034), Coordinates(lat=41.962982, lng=-87.785034), Coordinates(lat=41.963882, lng=-87.78383), Coordinates(lat=41.963882, lng=-87.77901), Coordinates(lat=41.964783, lng=-87.7778), Coordinates(lat=41.966583, lng=-87.78021), Coordinates(lat=41.967484, lng=-87.77901), Coordinates(lat=41.967484, lng=-87.776596), Coordinates(lat=41.969284, lng=-87.774185), Coordinates(lat=41.969284, lng=-87.76695), Coordinates(lat=41.971985, lng=-87.763336), Coordinates(lat=41.973785, lng=-87.76575), Coordinates(lat=41.977386, lng=-87.76575), Coordinates(lat=41.978287, lng=-87.76454), Coordinates(lat=41.978287, lng=-87.76213), Coordinates(lat=41.980988, lng=-87.758514), Coordinates(lat=41.982788, lng=-87.760925), Coordinates(lat=41.98459, lng=-87.760925), Coordinates(lat=41.98909, lng=-87.76695), Coordinates(lat=41.98909, lng=-87.771774), Coordinates(lat=41.98999, lng=-87.77298), Coordinates(lat=41.99179, lng=-87.77298), Coordinates(lat=41.99449, lng=-87.776596), Coordinates(lat=41.99269, lng=-87.77901), Coordinates(lat=41.99269, lng=-87.78142), Coordinates(lat=41.99359, lng=-87.78262), Coordinates(lat=41.99539, lng=-87.78021), Coordinates(lat=41.996292, lng=-87.78142), Coordinates(lat=41.996292, lng=-87.78624), Coordinates(lat=42.001694, lng=-87.79347), Coordinates(lat=42.001694, lng=-87.798294), Coordinates(lat=41.999893, lng=-87.800705), Coordinates(lat=42.001694, lng=-87.803116), Coordinates(lat=42.001694, lng=-87.80553), Coordinates(lat=42.002594, lng=-87.80673), Coordinates(lat=42.008, lng=-87.80673), Coordinates(lat=42.0116, lng=-87.80191), Coordinates(lat=42.018803, lng=-87.811554), Coordinates(lat=42.020603, lng=-87.811554), Coordinates(lat=42.021503, lng=-87.81276), Coordinates(lat=42.021503, lng=-87.81517), Coordinates(lat=42.023304, lng=-87.81758), Coordinates(lat=42.022404, lng=-87.81879), Coordinates(lat=42.020603, lng=-87.81879), Coordinates(lat=42.019703, lng=-87.81999), Coordinates(lat=42.019703, lng=-87.829636), Coordinates(lat=42.018803, lng=-87.83084), Coordinates(lat=42.017002, lng=-87.83084), Coordinates(lat=42.0143, lng=-87.83446), Coordinates(lat=42.0143, lng=-87.83687), Coordinates(lat=42.0161, lng=-87.83928), Coordinates(lat=42.0161, lng=-87.84169), Coordinates(lat=42.017902, lng=-87.8441), Coordinates(lat=42.017902, lng=-87.84651), Coordinates(lat=42.025105, lng=-87.856155), Coordinates(lat=42.025105, lng=-87.8658), Coordinates(lat=42.024204, lng=-87.867004), Coordinates(lat=42.017002, lng=-87.867004), Coordinates(lat=42.0152, lng=-87.86459), Coordinates(lat=42.0134, lng=-87.86459), Coordinates(lat=42.0134, lng=-87.869415), Coordinates(lat=42.017002, lng=-87.869415), Coordinates(lat=42.018803, lng=-87.871826), Coordinates(lat=42.020603, lng=-87.871826), Coordinates(lat=42.022404, lng=-87.87424), Coordinates(lat=42.029606, lng=-87.87424), Coordinates(lat=42.030506, lng=-87.87303), Coordinates(lat=42.030506, lng=-87.87062), Coordinates(lat=42.026905, lng=-87.8658), Coordinates(lat=42.026905, lng=-87.86339), Coordinates(lat=42.027805, lng=-87.86218), Coordinates(lat=42.029606, lng=-87.86459), Coordinates(lat=42.030506, lng=-87.86339), Coordinates(lat=42.030506, lng=-87.86098), Coordinates(lat=42.028706, lng=-87.85857), Coordinates(lat=42.029606, lng=-87.85736), Coordinates(lat=42.033207, lng=-87.85736), Coordinates(lat=42.034107, lng=-87.85857), Coordinates(lat=42.034107, lng=-87.86098), Coordinates(lat=42.036808, lng=-87.86459), Coordinates(lat=42.03771, lng=-87.86339), Coordinates(lat=42.03771, lng=-87.86098), Coordinates(lat=42.04041, lng=-87.85736), Coordinates(lat=42.04131, lng=-87.85857), Coordinates(lat=42.04131, lng=-87.8658), Coordinates(lat=42.03951, lng=-87.86821), Coordinates(lat=42.04221, lng=-87.871826), Coordinates(lat=42.04401, lng=-87.869415), Coordinates(lat=42.04491, lng=-87.87062), Coordinates(lat=42.04491, lng=-87.87544), Coordinates(lat=42.04131, lng=-87.880264), Coordinates(lat=42.04131, lng=-87.885086), Coordinates(lat=42.04311, lng=-87.8875), Coordinates(lat=42.04221, lng=-87.8887), Coordinates(lat=42.03861, lng=-87.88388), Coordinates(lat=42.033207, lng=-87.88388), Coordinates(lat=42.028706, lng=-87.88991), Coordinates(lat=42.028706, lng=-87.89232), Coordinates(lat=42.030506, lng=-87.89473), Coordinates(lat=42.029606, lng=-87.895935), Coordinates(lat=42.026005, lng=-87.895935), Coordinates(lat=42.024204, lng=-87.898346), Coordinates(lat=42.020603, lng=-87.898346), Coordinates(lat=42.019703, lng=-87.89955), Coordinates(lat=42.019703, lng=-87.90196), Coordinates(lat=42.017902, lng=-87.90437), Coordinates(lat=42.017902, lng=-87.906784), Coordinates(lat=42.018803, lng=-87.90799), Coordinates(lat=42.022404, lng=-87.90799), Coordinates(lat=42.023304, lng=-87.909195), Coordinates(lat=42.022404, lng=-87.9104), Coordinates(lat=42.017002, lng=-87.9104), Coordinates(lat=42.0152, lng=-87.91281), Coordinates(lat=42.0134, lng=-87.91281), Coordinates(lat=42.0125, lng=-87.91402), Coordinates(lat=42.0125, lng=-87.91643), Coordinates(lat=42.0107, lng=-87.91884), Coordinates(lat=42.0107, lng=-87.92125), Coordinates(lat=42.0089, lng=-87.92366), Coordinates(lat=42.0089, lng=-87.933304), Coordinates(lat=42.0098, lng=-87.93451), Coordinates(lat=42.0134, lng=-87.93451), Coordinates(lat=42.0143, lng=-87.933304), Coordinates(lat=42.0125, lng=-87.93089), Coordinates(lat=42.0134, lng=-87.92969), Coordinates(lat=42.0152, lng=-87.92969), Coordinates(lat=42.0161, lng=-87.93089), Coordinates(lat=42.0161, lng=-87.933304), Coordinates(lat=42.017902, lng=-87.935715), Coordinates(lat=42.017902, lng=-87.94054), Coordinates(lat=42.0152, lng=-87.94415), Coordinates(lat=42.0134, lng=-87.94174), Coordinates(lat=42.0098, lng=-87.94656), Coordinates(lat=42.008, lng=-87.94656), Coordinates(lat=42.0053, lng=-87.94295), Coordinates(lat=42.0053, lng=-87.94054), Coordinates(lat=42.0071, lng=-87.938126)], holes=[[Coordinates(lat=41.942276, lng=-87.8441), Coordinates(lat=41.942276, lng=-87.84651), Coordinates(lat=41.941376, lng=-87.84772), Coordinates(lat=41.939575, lng=-87.84772), Coordinates(lat=41.938675, lng=-87.84892), Coordinates(lat=41.941376, lng=-87.85254), Coordinates(lat=41.948578, lng=-87.85254), Coordinates(lat=41.94948, lng=-87.85133), Coordinates(lat=41.94948, lng=-87.84169), Coordinates(lat=41.948578, lng=-87.840485), Coordinates(lat=41.941376, lng=-87.840485), Coordinates(lat=41.940475, lng=-87.84169), Coordinates(lat=41.942276, lng=-87.8441)]]), Shape(shell=[Coordinates(lat=41.962082, lng=-87.75249), Coordinates(lat=41.964783, lng=-87.74887), Coordinates(lat=41.966583, lng=-87.75128), Coordinates(lat=41.968384, lng=-87.74887), Coordinates(lat=41.972885, lng=-87.7549), Coordinates(lat=41.968384, lng=-87.760925), Coordinates(lat=41.966583, lng=-87.760925), Coordinates(lat=41.963882, lng=-87.75731), Coordinates(lat=41.963882, lng=-87.7549), Coordinates(lat=41.962082, lng=-87.75249)], holes=[])])]"
